issued,recorded_at,legs,target_odds,min_leg_odds,probability,fair_odds,offered_odds,weakest_leg,first_day,last_day,selections,legs_won,legs_void,outcome,pnl,settled_at
2026-08-14,2026-08-14T13:20:22,4,3.00000,1.31607,0.33315,3.00161,,0.75966,2026-08-14,2026-08-16,"[{""date"": ""2026-08-16"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""real salt lake"", ""away"": ""minnesota united"", ""match"": ""Real Salt Lake v Minnesota United FC"", ""key"": ""ou1.5_over"", ""selection"": ""Over 1.5 goals"", ""prob"": 0.7598, ""fair_odds"": 1.31613, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-14"", ""competition"": ""DED"", ""competition_name"": ""Eredivisie"", ""home"": ""telstar"", ""away"": ""sparta rotterdam"", ""match"": ""SC Telstar v Sparta Rotterdam"", ""key"": ""hcp_away+1.5"", ""selection"": ""Away +1.5"", ""prob"": 0.75975, ""fair_odds"": 1.31622, ""odds"": null, ""hit_rate"": 0.77522, ""hit_rate_n"": 9289}, {""date"": ""2026-08-15"", ""competition"": ""NOR-ELITESER"", ""competition_name"": ""Eliteserien"", ""home"": ""kfum"", ""away"": ""lillestrom"", ""match"": ""KFUM v Lillestrom"", ""key"": ""ou3.5_under"", ""selection"": ""Under 3.5 goals"", ""prob"": 0.75972, ""fair_odds"": 1.31628, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-15"", ""competition"": ""EL2"", ""competition_name"": ""League Two"", ""home"": ""barnet"", ""away"": ""salford city"", ""match"": ""Barnet v Salford City"", ""key"": ""corners7.5_over"", ""selection"": ""Over 7.5 corners"", ""prob"": 0.75966, ""fair_odds"": 1.31637, ""odds"": null, ""hit_rate"": 0.7731, ""hit_rate_n"": 15346}]",4.00000,0.00000,won,,2026-08-20T12:32:29
2026-08-17,2026-08-17T15:31:51,4,3.00000,1.31607,0.32349,3.09132,,0.75289,2026-08-17,2026-08-19,"[{""date"": ""2026-08-19"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""philadelphia union"", ""away"": ""inter miami"", ""match"": ""Philadelphia Union v Inter Miami CF"", ""key"": ""ou4.5_under"", ""selection"": ""Under 4.5 goals"", ""prob"": 0.75613, ""fair_odds"": 1.32252, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-19"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""cincinnati"", ""away"": ""new york city"", ""match"": ""FC Cincinnati v New York City FC"", ""key"": ""hcp_away+1.5"", ""selection"": ""Away +1.5"", ""prob"": 0.75475, ""fair_odds"": 1.32495, ""odds"": null, ""hit_rate"": 0.77522, ""hit_rate_n"": 9289}, {""date"": ""2026-08-17"", ""competition"": ""SWE-ALLSVENS"", ""competition_name"": ""Allsvenskan"", ""home"": ""bk hacken"", ""away"": ""halmstads bk"", ""match"": ""BK Hacken v Halmstads BK"", ""key"": ""tt1.5_away_under"", ""selection"": ""Away team under 1.5 goals"", ""prob"": 0.75289, ""fair_odds"": 1.32822, ""odds"": null, ""hit_rate"": 0.77455, ""hit_rate_n"": 33906}, {""date"": ""2026-08-18"", ""competition"": ""ARG-LIGAPROF"", ""competition_name"": ""Liga Profesional"", ""home"": ""gimnasia mendoza"", ""away"": ""talleres"", ""match"": ""Gimnasia Mendoza v Talleres"", ""key"": ""tt1.5_home_under"", ""selection"": ""Home team under 1.5 goals"", ""prob"": 0.75289, ""fair_odds"": 1.32822, ""odds"": null, ""hit_rate"": 0.77455, ""hit_rate_n"": 33906}]",,,pending,,
2026-08-18,2026-08-18T12:18:38,4,3.00000,1.31607,0.32611,3.06646,,0.75475,2026-08-19,2026-08-20,"[{""date"": ""2026-08-19"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""philadelphia union"", ""away"": ""inter miami"", ""match"": ""Philadelphia Union v Inter Miami CF"", ""key"": ""ou4.5_under"", ""selection"": ""Under 4.5 goals"", ""prob"": 0.75613, ""fair_odds"": 1.32252, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-20"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""colorado rapids"", ""away"": ""los angeles"", ""match"": ""Colorado Rapids v Los Angeles FC"", ""key"": ""tt0.5_home_over"", ""selection"": ""Home team over 0.5 goals"", ""prob"": 0.75604, ""fair_odds"": 1.32268, ""odds"": null, ""hit_rate"": 0.77455, ""hit_rate_n"": 33906}, {""date"": ""2026-08-19"", ""competition"": ""USA-MLS"", ""competition_name"": ""MLS"", ""home"": ""cincinnati"", ""away"": ""new york city"", ""match"": ""FC Cincinnati v New York City FC"", ""key"": ""hcp_away+1.5"", ""selection"": ""Away +1.5"", ""prob"": 0.75475, ""fair_odds"": 1.32495, ""odds"": null, ""hit_rate"": 0.77522, ""hit_rate_n"": 9289}, {""date"": ""2026-08-20"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""rayo vallecano"", ""away"": ""alaves"", ""match"": ""Rayo Vallecano v Alav\u00e9s"", ""key"": ""dc_1x"", ""selection"": ""Home or draw (1X)"", ""prob"": 0.75583, ""fair_odds"": 1.32306, ""odds"": null, ""hit_rate"": 0.76071, ""hit_rate_n"": 18350}]",4.00000,0.00000,won,,2026-08-21T10:07:09
2026-08-20,2026-08-20T12:08:48,4,3.00000,1.31607,0.33173,3.01450,,0.75816,2026-08-22,2026-08-22,"[{""date"": ""2026-08-22"", ""competition"": ""GSL"", ""competition_name"": ""Super League"", ""home"": ""kalamata"", ""away"": ""aris thessaloniki"", ""match"": ""Kalamata FC v Aris Thessaloniki"", ""key"": ""ou1.5_over"", ""selection"": ""Over 1.5 goals"", ""prob"": 0.75961, ""fair_odds"": 1.31646, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-22"", ""competition"": ""MEX-LIGAMX"", ""competition_name"": ""Liga MX"", ""home"": ""queretaro"", ""away"": ""toluca"", ""match"": ""Quer\u00e9taro v Toluca"", ""key"": ""hcp_home+1.5"", ""selection"": ""Home +1.5"", ""prob"": 0.75924, ""fair_odds"": 1.31711, ""odds"": null, ""hit_rate"": 0.77522, ""hit_rate_n"": 9289}, {""date"": ""2026-08-22"", ""competition"": ""SPL"", ""competition_name"": ""Premiership"", ""home"": ""hibernian"", ""away"": ""kilmarnock"", ""match"": ""Hibernian v Kilmarnock"", ""key"": ""ou1.5_over"", ""selection"": ""Over 1.5 goals"", ""prob"": 0.75867, ""fair_odds"": 1.31809, ""odds"": null, ""hit_rate"": 0.77766, ""hit_rate_n"": 27480}, {""date"": ""2026-08-22"", ""competition"": ""SB"", ""competition_name"": ""Serie B"", ""home"": ""avellino"", ""away"": ""arezzo"", ""match"": ""Avellino v Arezzo"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.75816, ""fair_odds"": 1.31899, ""odds"": null, ""hit_rate"": 0.7731, ""hit_rate_n"": 15346}]",,,pending,,
2026-08-21,2026-08-21T08:11:19,4,3.00000,1.31607,0.33141,3.01740,,0.75838,2026-08-21,2026-08-23,"[{""date"": ""2026-08-23"", ""competition"": ""GSL"", ""competition_name"": ""Super League (Greece)"", ""home"": ""panathinaikos"", ""away"": ""kifisia"", ""match"": ""Panathinaikos v AE Kifisia FC"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.759, ""fair_odds"": 1.31752, ""odds"": null, ""hit_rate"": 0.77341, ""hit_rate_n"": 15301}, {""date"": ""2026-08-21"", ""competition"": ""FL2"", ""competition_name"": ""Ligue 2"", ""home"": ""dunkerque"", ""away"": ""montpellier"", ""match"": ""USL Dunkerque v Montpellier"", ""key"": ""ou3.5_under"", ""selection"": ""Under 3.5 goals"", ""prob"": 0.75894, ""fair_odds"": 1.31763, ""odds"": null, ""hit_rate"": 0.77697, ""hit_rate_n"": 26871}, {""date"": ""2026-08-21"", ""competition"": ""FL2"", ""competition_name"": ""Ligue 2"", ""home"": ""pau"", ""away"": ""nancy"", ""match"": ""Pau FC v Nancy"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.75863, ""fair_odds"": 1.31817, ""odds"": null, ""hit_rate"": 0.77341, ""hit_rate_n"": 15301}, {""date"": ""2026-08-22"", ""competition"": ""GSL"", ""competition_name"": ""Super League (Greece)"", ""home"": ""aek"", ""away"": ""iraklis"", ""match"": ""AEK Athens v Iraklis FC"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.75838, ""fair_odds"": 1.3186, ""odds"": null, ""hit_rate"": 0.77341, ""hit_rate_n"": 15301}]",,,pending,,
2026-08-22,2026-08-22T10:00:24,4,3.00000,1.31607,0.33280,3.00484,,0.75890,2026-08-22,2026-08-23,"[{""date"": ""2026-08-23"", ""competition"": ""TSL"", ""competition_name"": ""S\u00fcper Lig"", ""home"": ""eyupspor"", ""away"": ""gaziantep"", ""match"": ""Ey\u00fcpspor v Gazi\u015fehir Gaziantep"", ""key"": ""tt0.5_away_over"", ""selection"": ""Away team over 0.5 goals"", ""prob"": 0.75982, ""fair_odds"": 1.31611, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}, {""date"": ""2026-08-22"", ""competition"": ""EL1"", ""competition_name"": ""League One"", ""home"": ""stockport"", ""away"": ""blackpool"", ""match"": ""Stockport County FC v Blackpool"", ""key"": ""tt2.5_home_under"", ""selection"": ""Home team under 2.5 goals"", ""prob"": 0.75971, ""fair_odds"": 1.3163, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}, {""date"": ""2026-08-23"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""atletico madrid"", ""away"": ""villarreal"", ""match"": ""Atl\u00e9tico Madrid v Villarreal"", ""key"": ""hcp_away+1.5"", ""selection"": ""Away +1.5"", ""prob"": 0.75969, ""fair_odds"": 1.31632, ""odds"": null, ""hit_rate"": 0.77393, ""hit_rate_n"": 9373}, {""date"": ""2026-08-23"", ""competition"": ""GSL"", ""competition_name"": ""Super League (Greece)"", ""home"": ""panathinaikos"", ""away"": ""kifisia"", ""match"": ""Panathinaikos v AE Kifisia FC"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.7589, ""fair_odds"": 1.3177, ""odds"": null, ""hit_rate"": 0.7734, ""hit_rate_n"": 15296}]",,,pending,,
2026-08-23,2026-08-23T10:00:24,4,3.00000,1.31607,0.33225,3.00978,,0.75846,2026-08-23,2026-08-24,"[{""date"": ""2026-08-23"", ""competition"": ""TSL"", ""competition_name"": ""S\u00fcper Lig"", ""home"": ""eyupspor"", ""away"": ""gaziantep"", ""match"": ""Ey\u00fcpspor v Gazi\u015fehir Gaziantep"", ""key"": ""tt0.5_away_over"", ""selection"": ""Away team over 0.5 goals"", ""prob"": 0.75982, ""fair_odds"": 1.31611, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}, {""date"": ""2026-08-23"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""atletico madrid"", ""away"": ""villarreal"", ""match"": ""Atl\u00e9tico Madrid v Villarreal"", ""key"": ""hcp_away+1.5"", ""selection"": ""Away +1.5"", ""prob"": 0.75969, ""fair_odds"": 1.31632, ""odds"": null, ""hit_rate"": 0.77393, ""hit_rate_n"": 9373}, {""date"": ""2026-08-23"", ""competition"": ""GSL"", ""competition_name"": ""Super League (Greece)"", ""home"": ""panathinaikos"", ""away"": ""kifisia"", ""match"": ""Panathinaikos v AE Kifisia FC"", ""key"": ""corners11.5_under"", ""selection"": ""Under 11.5 corners"", ""prob"": 0.7589, ""fair_odds"": 1.3177, ""odds"": null, ""hit_rate"": 0.7734, ""hit_rate_n"": 15296}, {""date"": ""2026-08-24"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""malaga"", ""away"": ""deportivo la coruna"", ""match"": ""M\u00e1laga v Deportivo La Coru\u00f1a"", ""key"": ""tt1.5_away_under"", ""selection"": ""Away team under 1.5 goals"", ""prob"": 0.75846, ""fair_odds"": 1.31846, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}]",,,pending,,
2026-08-24,2026-08-24T11:03:39,4,3.00000,1.31607,0.32738,3.05452,,0.75336,2026-08-24,2026-08-25,"[{""date"": ""2026-08-24"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""malaga"", ""away"": ""deportivo la coruna"", ""match"": ""M\u00e1laga v Deportivo La Coru\u00f1a"", ""key"": ""tt1.5_away_under"", ""selection"": ""Away team under 1.5 goals"", ""prob"": 0.75846, ""fair_odds"": 1.31846, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}, {""date"": ""2026-08-24"", ""competition"": ""FL2"", ""competition_name"": ""Ligue 2"", ""home"": ""reims"", ""away"": ""annecy"", ""match"": ""Stade de Reims v Annecy FC"", ""key"": ""ou1.5_over"", ""selection"": ""Over 1.5 goals"", ""prob"": 0.75734, ""fair_odds"": 1.32041, ""odds"": null, ""hit_rate"": 0.77705, ""hit_rate_n"": 26907}, {""date"": ""2026-08-25"", ""competition"": ""ARG-LIGAPROF"", ""competition_name"": ""Liga Profesional"", ""home"": ""lanus"", ""away"": ""argentinos juniors"", ""match"": ""Lanus v Argentinos Juniors"", ""key"": ""tt1.5_away_under"", ""selection"": ""Away team under 1.5 goals"", ""prob"": 0.75654, ""fair_odds"": 1.32181, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}, {""date"": ""2026-08-24"", ""competition"": ""SA"", ""competition_name"": ""Serie A"", ""home"": ""roma"", ""away"": ""fiorentina"", ""match"": ""AS Roma v Fiorentina"", ""key"": ""tt2.5_home_under"", ""selection"": ""Home team under 2.5 goals"", ""prob"": 0.75336, ""fair_odds"": 1.32739, ""odds"": null, ""hit_rate"": 0.77423, ""hit_rate_n"": 34115}]",,,pending,,
2026-08-25,2026-08-25T10:13:47,4,3.00000,1.31607,0.29754,3.36091,,0.71732,2026-08-25,2026-08-27,"[{""date"": ""2026-08-27"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""celta"", ""away"": ""osasuna"", ""match"": ""Celta Vigo v CA Osasuna"", ""key"": ""dc_1x"", ""selection"": ""Home or draw (1X)"", ""prob"": 0.75554, ""fair_odds"": 1.32355, ""odds"": null, ""hit_rate"": 0.76066, ""hit_rate_n"": 17878}, {""date"": ""2026-08-27"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""barcelona"", ""away"": ""athletic bilbao"", ""match"": ""Barcelona v Athletic Bilbao"", ""key"": ""1x2_home"", ""selection"": ""Home win"", ""prob"": 0.74262, ""fair_odds"": 1.34659, ""odds"": 1.43, ""hit_rate"": 0.73436, ""hit_rate_n"": 1295}, {""date"": ""2026-08-26"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""real madrid"", ""away"": ""sociedad"", ""match"": ""Real Madrid v Real Sociedad"", ""key"": ""1x2_home"", ""selection"": ""Home win"", ""prob"": 0.73928, ""fair_odds"": 1.35267, ""odds"": 1.44, ""hit_rate"": 0.73436, ""hit_rate_n"": 1295}, {""date"": ""2026-08-25"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""valencia"", ""away"": ""betis"", ""match"": ""Valencia v Real Betis"", ""key"": ""dc_12"", ""selection"": ""Home or away (12)"", ""prob"": 0.71732, ""fair_odds"": 1.39408, ""odds"": null, ""hit_rate"": 0.72013, ""hit_rate_n"": 29728}]",,,pending,,
2026-08-26,2026-08-26T11:01:26,4,3.00000,1.31607,0.31888,3.13601,,0.74262,2026-08-26,2026-08-28,"[{""date"": ""2026-08-26"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""real madrid"", ""away"": ""sociedad"", ""match"": ""Real Madrid v Real Sociedad"", ""key"": ""corners7.5_over"", ""selection"": ""Over 7.5 corners"", ""prob"": 0.75944, ""fair_odds"": 1.31676, ""odds"": null, ""hit_rate"": 0.77361, ""hit_rate_n"": 15460}, {""date"": ""2026-08-27"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""celta"", ""away"": ""osasuna"", ""match"": ""Celta Vigo v CA Osasuna"", ""key"": ""dc_1x"", ""selection"": ""Home or draw (1X)"", ""prob"": 0.75554, ""fair_odds"": 1.32355, ""odds"": null, ""hit_rate"": 0.76066, ""hit_rate_n"": 17878}, {""date"": ""2026-08-28"", ""competition"": ""BL2"", ""competition_name"": ""2. Bundesliga"", ""home"": ""braunschweig"", ""away"": ""hertha"", ""match"": ""Eintracht Braunschweig v Hertha Berlin"", ""key"": ""dc_12"", ""selection"": ""Home or away (12)"", ""prob"": 0.74835, ""fair_odds"": 1.33628, ""odds"": null, ""hit_rate"": 0.72013, ""hit_rate_n"": 29728}, {""date"": ""2026-08-27"", ""competition"": ""PD"", ""competition_name"": ""La Liga"", ""home"": ""barcelona"", ""away"": ""athletic bilbao"", ""match"": ""Barcelona v Athletic Bilbao"", ""key"": ""1x2_home"", ""selection"": ""Home win"", ""prob"": 0.74262, ""fair_odds"": 1.34659, ""odds"": 1.43, ""hit_rate"": 0.73436, ""hit_rate_n"": 1295}]",,,pending,,
