day,band,recorded_at,competition,competition_name,home,away,match,key,group,selection,prob,fair_odds,odds,hit_rate,hit_rate_n,played_on,home_goals,away_goals,outcome,pnl,settled_at
2026-08-14,safe,2026-08-14T12:17:44,FIN-VEIKKAUS,Veikkausliiga,vps vaasa,tps turku,VPS Vaasa v TPS Turku,dnb_home,dnb,Home draw-no-bet,0.76913,1.30017,,0.77416,4180,2026-08-14,1.00000,3.00000,lost,,2026-08-25T10:07:03
2026-08-14,main,2026-08-14T12:17:44,AUT-BUNDESLI,Bundesliga (Austria),lask,ried,LASK v Ried,ou2.5_over,ou,Over 2.5 goals,0.62392,1.60277,1.75000,0.65822,36366,2026-08-14,4.00000,1.00000,won,0.75000,2026-08-20T12:22:46
2026-08-14,value,2026-08-14T12:17:44,RUS-PREMIERL,Premier League (Russia),gazovik orenburg,lokomotiv moscow,Gazovik Orenburg v Lokomotiv Moscow,tt1.5_away_over,tt,Away team over 1.5 goals,0.45011,2.22170,,0.47577,18139,,,,pending,,
2026-08-15,safe,2026-08-14T12:17:44,TSL,Süper Lig,gazisehir gaziantep,alanyaspor,Gazişehir Gaziantep v Alanyaspor,tt0.5_away_over,tt,Away team over 0.5 goals,0.76923,1.30001,,0.77455,33906,2026-08-15,1.00000,1.00000,won,,2026-08-20T12:32:29
2026-08-15,main,2026-08-14T12:17:44,EL1,League One,mansfield town,doncaster rovers,Mansfield Town v Doncaster Rovers,tt0.5_away_over,tt,Away team over 0.5 goals,0.62485,1.60038,,0.65247,61865,2026-08-15,2.00000,1.00000,won,,2026-08-20T12:32:29
2026-08-15,value,2026-08-14T12:17:44,SD,Segunda División,oviedo,granada,Oviedo v Granada CF,corners8.5_under,corners,Under 8.5 corners,0.45367,2.20424,,0.47498,20306,2026-08-15,0.00000,0.00000,won,,2026-08-20T12:22:46
2026-08-16,safe,2026-08-14T12:17:44,BJL,Pro League,raal la louviere,gent,RAAL La Louvière v Gent,tt0.5_away_over,tt,Away team over 0.5 goals,0.76911,1.30020,,0.77455,33906,2026-08-16,1.00000,2.00000,won,,2026-08-20T12:22:46
2026-08-16,main,2026-08-14T12:17:44,BRA-SERIEA,Série A,corinthians,cruzeiro,Corinthians v Cruzeiro,tt1.5_home_under,tt,Home team under 1.5 goals,0.62466,1.60087,,0.65247,61865,2026-08-16,1.00000,2.00000,won,,2026-08-20T12:22:46
2026-08-16,value,2026-08-14T12:17:44,BRA-SERIEA,Série A,vasco da gama,santos,Vasco da Gama v Santos,tt1.5_home_over,tt,Home team over 1.5 goals,0.45419,2.20174,,0.47577,18139,2026-08-16,0.00000,3.00000,lost,,2026-08-20T12:32:29
2026-08-17,safe,2026-08-17T15:31:51,ARG-LIGAPROF,Liga Profesional,estudiantes de rio cuarto,atletico tucuman,Estudiantes de Río Cuarto v Atlético Tucuman,tt1.5_away_under,tt,Away team under 1.5 goals,0.76860,1.30106,,0.77455,33906,2026-08-17,0.00000,1.00000,won,,2026-08-20T12:32:29
2026-08-17,main,2026-08-17T15:31:51,FIN-VEIKKAUS,Veikkausliiga,if gnistan,ilves tampere,IF Gnistan v Ilves Tampere,tt1.5_away_under,tt,Away team under 1.5 goals,0.62468,1.60082,,0.65247,61865,2026-08-17,3.00000,2.00000,lost,,2026-08-25T10:07:03
2026-08-17,value,2026-08-17T15:31:51,SD,Segunda División,sporting gijon,sabadell,Sporting Gijón v Sabadell FC,tt0.5_away_under,tt,Away team under 0.5 goals,0.44971,2.22367,,0.43361,23943,2026-08-17,0.00000,0.00000,won,,2026-08-20T12:32:29
2026-08-18,safe,2026-08-17T15:31:51,MEX-LIGAMX,Liga MX,necaxa,leon,Necaxa v León,ou1.5_over,ou,Over 1.5 goals,0.76573,1.30594,,0.77766,27480,2026-08-18,1.00000,2.00000,won,,2026-08-20T12:22:46
