over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons,home_key,away_key
2.38,1.58,2.38,1.55,2026-08-12T15:37:47+00:00,2026-08-14,2026-08-14T23:30:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Racing Club,Banfield,1.75,3.55,6.0,1.7,3.4,5.3,25,1.0198,1.071,,,,,racing,banfield
2.95,1.39,2.95,1.39,2026-08-12T15:37:47+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Aldosivi Mar del Plata,CA Tigre BA,3.2,2.88,2.64,3.025,2.75,2.58,26,1.0385,1.0818,1.66,2.25,1.62,2.23,aldosivi mar del plata,tigre ba
2.62,1.47,2.62,1.47,2026-08-12T15:37:47+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,San Lorenzo,Union Santa Fe,2.7,3.0,3.15,2.5,2.9,2.975,26,1.0212,1.081,1.54,2.52,1.51,2.41,san lorenzo,union santa fe
2.58,1.49,2.58,1.49,2026-08-12T15:37:47+00:00,2026-08-15,2026-08-15T19:45:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Estudiantes,Gimnasia La Plata,2.04,3.1,4.7,1.95,3.0,4.3,26,1.0255,1.0787,1.56,2.55,1.52,2.415,estudiantes,gimnasia la plata
2.58,1.49,2.58,1.49,2026-08-12T15:37:47+00:00,2026-08-15,2026-08-15T22:00:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Belgrano de Cordoba,Independiente Rivadavia,2.08,3.15,4.62,1.98,3.0,4.125,26,1.0147,1.0808,1.53,2.52,1.51,2.415,belgrano de cordoba,independiente rivadavia
3.05,1.37,3.05,1.37,2026-08-12T15:37:47+00:00,2026-08-15,2026-08-15T22:00:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Newells Old Boys,Deportivo Riestra,2.32,2.92,3.85,2.28,2.8,3.55,25,1.0332,1.0774,1.69,2.28,1.67,2.15,newells old boys,deportivo riestra
2.95,1.39,2.95,1.39,2026-08-12T15:37:47+00:00,2026-08-16,2026-08-16T00:15:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Platense,Boca Juniors,4.0,3.0,2.42,3.7,2.88,2.17,26,0.9966,1.0783,1.64,2.35,1.57,2.265,platense,boca juniors
3.15,1.35,3.15,1.35,2026-08-12T15:37:47+00:00,2026-08-16,2026-08-16T18:00:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Sarmiento de Junin,Atlético Huracán,3.21,2.82,2.9,3.0,2.71,2.62,25,1.011,1.084,1.7,2.3,1.67,2.16,sarmiento de junin,atletico huracan
2.62,1.47,2.62,1.47,2026-08-12T15:37:47+00:00,2026-08-16,2026-08-16T21:00:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,River Plate,Argentinos Juniors,2.17,3.18,4.3,2.02,3.0,3.9,25,1.0079,1.0848,1.55,2.5,1.525,2.365,river plate,argentinos juniors
2.85,1.41,2.85,1.41,2026-08-12T15:37:47+00:00,2026-08-16,2026-08-16T23:15:00Z,soccer_argentina_primera_division,ARG-LIGAPROF,Barracas Central,Rosario Central,3.55,3.0,2.62,3.35,2.8200000000000003,2.325,24,0.9967,1.0832,1.61,2.35,1.565,2.305,barracas central,rosario central
