over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.75,2.15,1.725,2.04,2026-08-12T15:37:48+00:00,2026-08-14,2026-08-14T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,LASK,Ried,1.56,4.4,6.0,1.5,4.0,5.3,33,1.035,1.1053,lask,ried
1.95,1.88,1.88,1.795,2026-08-12T15:37:48+00:00,2026-08-15,2026-08-15T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Austria Lustenau,Wolfsberger AC,3.8,3.5,2.05,3.45,3.3,1.95,32,1.0367,1.1057,austria lustenau,wolfsberger
1.88,1.95,1.83,1.845,2026-08-12T15:37:48+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Sturm Graz,Rheindorf Altach,1.71,3.9,4.86,1.65,3.6,4.5,33,1.047,1.1061,sturm graz,rheindorf altach
2.04,1.83,1.98,1.78,2026-08-12T15:37:48+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Hartberg,Austria Wien,3.36,3.4,2.24,3.2,3.2,2.1,25,1.0382,1.1012,hartberg,austria wien
1.62,2.33,1.57,2.185,2026-08-12T15:37:48+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,WSG Tirol,RB Salzburg,7.0,4.71,1.47,6.0,4.2,1.42,34,1.0354,1.109,wsg tirol,rb salzburg
1.87,1.97,1.845,1.88,2026-08-12T15:37:48+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Rapid Wien,Grazer AK,1.78,3.73,4.56,1.73,3.5,4.3,34,1.0492,1.0963,rapid wien,grazer ak
1.69,2.38,1.65,2.15,2026-08-14T09:49:02+00:00,2026-08-14,2026-08-14T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,LASK,Ried,1.51,4.8,7.2,1.44,4.265000000000001,6.0,34,1.0095,1.0956,lask,ried
1.97,1.89,1.895,1.82,2026-08-14T09:49:02+00:00,2026-08-15,2026-08-15T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Austria Lustenau,Wolfsberger AC,3.8,3.53,2.0,3.55,3.3,1.94,34,1.0464,1.1002,austria lustenau,wolfsberger
1.89,1.96,1.85,1.86,2026-08-14T09:49:02+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Sturm Graz,Rheindorf Altach,1.72,3.9,5.3,1.67,3.675,4.6,34,1.0265,1.0883,sturm graz,rheindorf altach
2.05,1.83,1.96,1.75,2026-08-14T09:49:02+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Hartberg,Austria Wien,3.2,3.4,2.36,3.0,3.15,2.2,33,1.0303,1.1053,hartberg,austria wien
1.57,2.32,1.56,2.18,2026-08-14T09:49:02+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,WSG Tirol,RB Salzburg,6.4,4.75,1.49,6.0,4.3,1.44,34,1.0379,1.0937,wsg tirol,rb salzburg
1.85,1.99,1.84,1.88,2026-08-14T09:49:02+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Rapid Wien,Grazer AK,1.78,3.8,4.8,1.725,3.5,4.3,34,1.0333,1.098,rapid wien,grazer ak
1.97,1.94,1.92,1.82,2026-08-20T09:09:34+00:00,2026-08-21,2026-08-21T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Ried,Grazer AK,2.07,3.66,3.8,2.0,3.3,3.4,35,1.0195,1.0971,ried,grazer ak
1.93,1.9,1.88,1.82,2026-08-20T09:09:34+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Rheindorf Altach,Hartberg,1.91,3.6,4.2,1.83,3.4,3.85,33,1.0394,1.1003,rheindorf altach,hartberg
1.5,2.48,1.5,2.35,2026-08-20T09:09:34+00:00,2026-08-22,2026-08-22T17:30:00Z,soccer_austria_bundesliga,AUT-BUNDESLI,Sturm Graz,Austria Lustenau,1.36,5.55,8.8,1.32,5.0,7.5,33,1.0291,1.0909,sturm graz,austria lustenau
