over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
2.27,1.66,2.17,1.62,2026-08-12T15:37:50+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Fluminense,Palmeiras,2.85,3.25,2.75,2.72,3.1,2.6,38,1.0222,1.0748,fluminense,palmeiras
2.23,1.77,2.08,1.7,2026-08-12T15:37:50+00:00,2026-08-15,2026-08-15T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Atletico Paranaense,Bragantino-SP,2.05,3.5,4.39,1.95,3.1900000000000004,3.75,36,1.0013,1.093,atletico paranaense,bragantino sp
1.98,1.88,1.925,1.83,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T00:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Sao Paulo,Coritiba,1.74,3.85,5.25,1.67,3.65,4.75,38,1.0249,1.0833,sao paulo,coritiba
1.91,2.05,1.83,1.92,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Chapecoense,Bahia,3.5,3.6,2.14,3.3,3.4,2.08,37,1.0308,1.0779,chapecoense,bahia
2.0,1.88,1.93,1.82,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Atletico Mineiro,Grêmio,1.84,3.67,4.65,1.75,3.5,4.33,36,1.031,1.0881,atletico mineiro,gremio
2.04,1.82,1.94,1.78,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Vasco da Gama,Santos,2.02,3.52,3.97,1.94,3.35,3.75,36,1.031,1.0806,vasco da gama,santos
2.0,1.88,1.92,1.83,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Vitoria,Botafogo,2.46,3.3,3.19,2.35,3.1,2.9,37,1.023,1.0929,vitoria,botafogo
2.08,1.85,1.99,1.75,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Mirassol,Flamengo,4.52,3.7,1.88,4.2,3.4,1.8,37,1.0234,1.0878,mirassol,flamengo
2.27,1.66,2.215,1.62,2026-08-12T15:37:50+00:00,2026-08-16,2026-08-16T22:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Corinthians,Cruzeiro,2.3,3.3,3.5,2.2,3.12,3.25,37,1.0235,1.0828,corinthians,cruzeiro
1.88,2.02,1.825,1.925,2026-08-12T15:37:50+00:00,2026-08-17,2026-08-17T23:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Internacional,Remo,1.6,4.17,5.9,1.55,3.85,5.5,35,1.0343,1.0867,internacional,remo
1.81,2.07,1.72,2.025,2026-08-12T15:37:50+00:00,2026-08-22,2026-08-22T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Fluminense,Remo,1.45,4.5,7.7,1.4,4.2,6.75,24,1.0417,1.1005,fluminense,remo
2.09,1.77,2.06,1.73,2026-08-12T15:37:50+00:00,2026-08-22,2026-08-22T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Internacional,Atletico Mineiro,2.3,3.31,3.55,2.07,3.175,3.21,24,1.0186,1.1096,internacional,atletico mineiro
2.08,1.78,2.015,1.755,2026-08-12T15:37:50+00:00,2026-08-22,2026-08-22T23:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Cruzeiro,Flamengo,3.05,3.4,2.51,2.8,3.1,2.3,23,1.0204,1.1145,cruzeiro,flamengo
2.02,1.83,1.965,1.79,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Vitoria,Bahia,2.69,3.4,2.8,2.425,3.155,2.65,24,1.023,1.1067,vitoria,bahia
1.97,1.89,1.9,1.82,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Bragantino-SP,Grêmio,1.95,3.6,4.12,1.84,3.375,3.9,24,1.0333,1.0962,bragantino sp,gremio
1.98,1.86,1.91,1.805,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Palmeiras,Vasco da Gama,1.56,4.05,6.5,1.525,3.775,5.95,24,1.0418,1.0887,palmeiras,vasco da gama
2.05,1.82,1.94,1.78,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Chapecoense,Sao Paulo,3.5,3.5,2.16,3.3,3.225,2.04,24,1.0344,1.1033,chapecoense,sao paulo
2.08,1.78,2.07,1.72,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Santos,Mirassol,2.12,3.46,3.6,2.0,3.25,3.4,24,1.0385,1.1018,santos,mirassol
2.33,1.63,2.32,1.57,2026-08-12T15:37:50+00:00,2026-08-23,2026-08-23T22:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Coritiba,Corinthians,2.94,3.2,2.61,2.75,3.0,2.475,22,1.0358,1.101,coritiba,corinthians
2.08,1.78,2.05,1.78,2026-08-12T15:37:50+00:00,2026-08-24,2026-08-24T23:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Botafogo,Atletico Paranaense,2.13,3.5,3.6,1.95,3.15,3.4,13,1.033,1.1244,botafogo,atletico paranaense
2.28,1.68,2.15,1.64,2026-08-14T09:49:06+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Fluminense,Palmeiras,2.88,3.25,2.75,2.75,3.1,2.58,40,1.0186,1.0738,fluminense,palmeiras
2.26,1.73,2.12,1.65,2026-08-14T09:49:06+00:00,2026-08-15,2026-08-15T21:30:00Z,soccer_brazil_campeonato,BRA-SERIEA,Atletico Paranaense,Bragantino-SP,2.05,3.4,4.42,1.95,3.205,3.875,38,1.0082,1.0829,atletico paranaense,bragantino sp
1.99,1.86,1.94,1.82,2026-08-14T09:49:06+00:00,2026-08-16,2026-08-16T00:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Sao Paulo,Coritiba,1.79,3.82,5.2,1.7,3.6,4.785,40,1.0127,1.075,sao paulo,coritiba
1.91,2.04,1.83,1.92,2026-08-14T09:49:06+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Chapecoense,Bahia,3.6,3.6,2.12,3.3,3.4,2.075,40,1.0273,1.0791,chapecoense,bahia
2.0,1.85,1.93,1.81,2026-08-14T09:49:06+00:00,2026-08-16,2026-08-16T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Atletico Mineiro,Grêmio,1.84,3.75,4.7,1.8,3.5,4.33,39,1.0229,1.0722,atletico mineiro,gremio
2.04,1.83,1.945,1.795,2026-08-14T09:49:06+00:00,2026-08-16,2026-08-16T19:00:00Z,soccer_brazil_campeonato,BRA-SERIEA,Vasco da Gama,Santos,2.0,3.5,3.99,1.95,3.4,3.75,39,1.0363,1.0736,vasco da gama,santos
