over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.37,2.9,1.37,2.85,2026-08-12T15:37:51+00:00,2026-08-14,2026-08-14T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Shandong Luneng Taishan FC,Qingdao Hainiu FC,1.51,5.0,6.1,1.44,4.75,5.5,32,1.0262,1.0868,shandong luneng taishan,qingdao hainiu
1.6,2.37,1.56,2.285,2026-08-12T15:37:51+00:00,2026-08-14,2026-08-14T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Wuhan Three Towns,Shanghai SIPG FC,3.5,3.9,2.05,3.29,3.6,2.0,32,1.0299,1.0817,wuhan three towns,shanghai sipg
1.97,1.85,1.92,1.8,2026-08-12T15:37:51+00:00,2026-08-14,2026-08-14T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Qingdao West Coast FC,Chongqing Tonglianglong FC,2.1,3.42,3.6,2.05,3.3,3.35,31,1.0464,1.0893,qingdao west coast,chongqing tonglianglong
1.6,2.37,1.55,2.28,2026-08-12T15:37:51+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Liaoning Tieren FC,Shenzhen Peng City FC,2.29,3.75,3.06,2.18,3.6,2.85,29,1.0301,1.0874,liaoning tieren,shenzhen peng city
1.83,2.16,1.73,2.005,2026-08-12T15:37:51+00:00,2026-08-15,2026-08-15T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Tianjin Jinmen Tiger FC,Beijing FC,3.5,3.6,2.15,3.2,3.39,2.08,32,1.0286,1.0883,tianjin jinmen tiger,beijing
1.4,2.82,1.38,2.82,2026-08-12T15:37:51+00:00,2026-08-15,2026-08-15T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Zhejiang,Chengdu Rongcheng FC,3.15,4.0,2.26,2.76,3.8,2.15,31,1.0099,1.0906,zhejiang,chengdu rongcheng
1.37,2.9,1.37,2.85,2026-08-12T15:37:51+00:00,2026-08-15,2026-08-15T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Yunnan Yukun,Dalian Yingbo,2.13,4.2,3.13,2.05,3.8,3.0,31,1.0271,1.0843,yunnan yukun,dalian yingbo
1.42,2.75,1.42,2.68,2026-08-12T15:37:51+00:00,2026-08-15,2026-08-15T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Shanghai Shenhua FC,Henan FC,1.89,4.2,3.9,1.83,3.9,3.55,32,1.0236,1.0845,shanghai shenhua,henan
1.35,3.05,1.33,3.05,2026-08-14T09:49:07+00:00,2026-08-14,2026-08-14T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Shandong Luneng Taishan FC,Qingdao Hainiu FC,1.43,6.0,7.8,1.36,5.2,6.5,33,0.9942,1.0814,shandong luneng taishan,qingdao hainiu
1.54,2.45,1.52,2.25,2026-08-14T09:49:07+00:00,2026-08-14,2026-08-14T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Wuhan Three Towns,Shanghai SIPG FC,3.1,3.85,2.38,2.8,3.6,2.25,33,1.0025,1.0794,wuhan three towns,shanghai sipg
2.54,1.64,2.3,1.57,2026-08-14T09:49:07+00:00,2026-08-14,2026-08-14T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Qingdao West Coast FC,Chongqing Tonglianglong FC,2.18,3.25,4.1,2.1,3.1,3.6,32,1.0103,1.0765,qingdao west coast,chongqing tonglianglong
1.59,2.42,1.55,2.28,2026-08-14T09:49:07+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Liaoning Tieren FC,Shenzhen Peng City FC,2.32,3.76,3.06,2.18,3.6,2.88,30,1.0238,1.0837,liaoning tieren,shenzhen peng city
1.84,2.16,1.73,2.01,2026-08-14T09:49:07+00:00,2026-08-15,2026-08-15T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Tianjin Jinmen Tiger FC,Beijing FC,3.35,3.6,2.16,3.2,3.4,2.1,33,1.0392,1.0828,tianjin jinmen tiger,beijing
1.4,2.82,1.38,2.82,2026-08-14T09:49:07+00:00,2026-08-15,2026-08-15T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Zhejiang,Chengdu Rongcheng FC,2.95,4.1,2.25,2.8,3.75,2.15,32,1.0273,1.0889,zhejiang,chengdu rongcheng
1.37,2.9,1.37,2.85,2026-08-14T09:49:07+00:00,2026-08-15,2026-08-15T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Yunnan Yukun,Dalian Yingbo,2.12,4.3,3.15,2.05,3.9,2.95,33,1.0217,1.0832,yunnan yukun,dalian yingbo
1.44,2.62,1.44,2.58,2026-08-14T09:49:07+00:00,2026-08-15,2026-08-15T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Shanghai Shenhua FC,Henan FC,1.9,4.2,3.9,1.84,3.9,3.6,33,1.0208,1.0777,shanghai shenhua,henan
1.82,2.1,1.75,2.0,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T11:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Wuhan Three Towns,Tianjin Jinmen Tiger FC,2.39,3.6,2.91,2.275,3.4,2.8,32,1.0398,1.0908,wuhan three towns,tianjin jinmen tiger
1.4,2.82,1.38,2.82,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Chengdu Rongcheng FC,Shanghai Shenhua FC,1.92,4.2,3.65,1.86,3.92,3.4,32,1.0329,1.0869,chengdu rongcheng,shanghai shenhua
1.49,2.5,1.49,2.42,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Shenzhen Peng City FC,Zhejiang,2.48,3.85,2.7,2.37,3.55,2.55,29,1.0333,1.0958,shenzhen peng city,zhejiang
1.28,3.5,1.28,3.35,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Beijing FC,Yunnan Yukun,1.51,5.2,6.0,1.44,4.84,5.375,32,1.0212,1.0871,beijing,yunnan yukun
1.65,2.3,1.57,2.26,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Qingdao West Coast FC,Shandong Luneng Taishan FC,2.6,3.75,2.62,2.5,3.5,2.48,32,1.033,1.0889,qingdao west coast,shandong luneng taishan
1.71,2.25,1.61,2.18,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T11:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Liaoning Tieren FC,Henan FC,3.2,3.65,2.35,2.865,3.48,2.25,30,1.012,1.0808,liaoning tieren,henan
1.4,2.82,1.38,2.82,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T11:35:00Z,soccer_china_superleague,CHN-SUPERLEA,Shanghai SIPG FC,Qingdao Hainiu FC,1.34,5.75,9.0,1.3,5.3,7.45,32,1.0313,1.0921,shanghai sipg,qingdao hainiu
1.98,1.87,1.865,1.82,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T12:00:00Z,soccer_china_superleague,CHN-SUPERLEA,Chongqing Tonglianglong FC,Dalian Yingbo,2.5,3.5,3.05,2.33,3.25,2.8,30,1.0136,1.094,chongqing tonglianglong,dalian yingbo
