over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.68,2.21,1.645,2.18,2026-08-12T15:37:52+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Viborg FF,AGF Aarhus,2.08,3.9,3.65,2.0,3.6,3.3,41,1.0112,1.0808,viborg ff,agf aarhus
1.9,1.96,1.85,1.9,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,OB Odense BK,AC Horsens,1.77,4.0,5.0,1.67,3.69,4.6,39,1.015,1.0872,ob odense bk,horsens
1.37,3.05,1.37,3.05,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,FC Nordsjaelland,Silkeborg IF,1.4,5.6,7.6,1.36,5.0,6.5,40,1.0244,1.0891,nordsjaelland,silkeborg if
1.57,2.38,1.55,2.38,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Lyngby,FC Midtjylland,4.2,4.36,1.82,3.875,3.9,1.75,40,1.0169,1.0859,lyngby,midtjylland
1.61,2.28,1.6,2.25,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T16:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Randers FC,FC Copenhagen,4.4,4.1,1.8,4.0,3.75,1.73,39,1.0267,1.0947,randers,copenhagen
1.58,2.6,1.53,2.38,2026-08-12T15:37:52+00:00,2026-08-17,2026-08-17T17:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Brondby IF,SonderjyskE,1.49,5.1,7.2,1.4,4.5,6.4,38,1.0061,1.0928,brondby if,sonderjyske
1.66,2.48,1.58,2.28,2026-08-14T09:49:09+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Viborg FF,AGF Aarhus,2.12,3.85,3.65,1.995,3.6,3.3,42,1.0054,1.0821,viborg ff,agf aarhus
2.02,1.88,1.9,1.83,2026-08-14T09:49:09+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,OB Odense BK,AC Horsens,1.77,3.95,5.3,1.6949999999999998,3.6,4.6,40,1.0068,1.0851,ob odense bk,horsens
1.37,3.05,1.37,3.05,2026-08-14T09:49:09+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,FC Nordsjaelland,Silkeborg IF,1.43,5.6,7.4,1.38,5.0,6.4,41,1.013,1.0809,nordsjaelland,silkeborg if
1.56,2.48,1.55,2.44,2026-08-14T09:49:09+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Lyngby,FC Midtjylland,4.1,4.4,1.8,3.85,3.95,1.75,41,1.0267,1.0843,lyngby,midtjylland
1.62,2.28,1.605,2.25,2026-08-14T09:49:09+00:00,2026-08-16,2026-08-16T16:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Randers FC,FC Copenhagen,4.7,4.2,1.8,4.32,3.85,1.7,41,1.0064,1.0795,randers,copenhagen
1.58,2.43,1.53,2.38,2026-08-14T09:49:09+00:00,2026-08-17,2026-08-17T17:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Brondby IF,SonderjyskE,1.49,5.2,7.0,1.4,4.5,6.5,39,1.0063,1.0904,brondby if,sonderjyske
1.46,2.68,1.46,2.68,2026-08-20T09:09:40+00:00,2026-08-23,2026-08-23T10:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,SonderjyskE,FC Nordsjaelland,3.72,4.2,1.94,3.55,3.85,1.82,39,1.0224,1.0909,sonderjyske,nordsjaelland
1.65,2.25,1.62,2.22,2026-08-20T09:09:40+00:00,2026-08-23,2026-08-23T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,AGF Aarhus,OB Odense BK,1.8,4.14,4.5,1.68,3.85,4.2,39,1.0193,1.0931,agf aarhus,ob odense bk
1.62,2.28,1.585,2.25,2026-08-20T09:09:40+00:00,2026-08-23,2026-08-23T12:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,FC Midtjylland,Randers FC,1.49,4.64,6.75,1.44,4.390000000000001,6.0,40,1.0348,1.0889,midtjylland,randers
1.89,2.0,1.82,1.92,2026-08-20T09:09:40+00:00,2026-08-23,2026-08-23T14:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,AC Horsens,Lyngby,2.86,3.5,2.54,2.75,3.3,2.4,40,1.0291,1.0833,horsens,lyngby
1.52,2.48,1.52,2.48,2026-08-20T09:09:40+00:00,2026-08-23,2026-08-23T16:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Viborg FF,FC Copenhagen,2.95,4.06,2.28,2.8,3.7,2.16,40,1.0239,1.0904,viborg ff,copenhagen
1.5,2.52,1.5,2.52,2026-08-20T09:09:40+00:00,2026-08-24,2026-08-24T17:00:00Z,soccer_denmark_superliga,DNK-SUPERLIG,Brondby IF,Silkeborg IF,1.46,5.0,7.0,1.4,4.7,6.5,39,1.0278,1.0809,brondby if,silkeborg if
