fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key,over25_odds,under25_odds,over25_odds_cons,under25_odds_cons
2026-08-11T14:03:59+00:00,2026-08-14,2026-08-14T19:00:00Z,soccer_efl_champ,ELC,Wolverhampton Wanderers,Blackburn Rovers,1.61,4.3,6.6,1.54,4.0,5.5,40,1.0052,1.0812,wolverhampton wanderers,blackburn rovers,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_efl_champ,ELC,Bolton Wanderers,Preston North End,2.32,3.5,3.55,2.18,3.3,3.25,40,0.9984,1.0694,bolton wanderers,preston north end,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Bristol City,Millwall,2.6,3.5,3.0,2.49,3.3,2.75,40,1.0037,1.0683,bristol city,millwall,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Charlton Athletic,Derby County,2.8,3.45,2.76,2.62,3.2,2.62,40,1.0093,1.0759,charlton athletic,derby county,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Middlesbrough,Lincoln City,1.36,5.4,10.0,1.3250000000000002,5.0,8.5,40,1.0205,1.0724,middlesbrough,lincoln city,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Norwich City,West Bromwich Albion,2.08,3.6,4.0,1.955,3.46,3.7,40,1.0085,1.0708,norwich city,west bromwich albion,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Portsmouth,Queens Park Rangers,2.38,3.5,3.4,2.25,3.35,3.04,40,1.0,1.0719,portsmouth,queens park rangers,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_efl_champ,ELC,Stoke City,Swansea City,2.5,3.4,3.05,2.4,3.25,2.9,40,1.022,1.0692,stoke city,swansea city,,,,
2026-08-11T14:03:59+00:00,2026-08-15,2026-08-15T16:30:00Z,soccer_efl_champ,ELC,Sheffield United,Birmingham City,2.55,3.45,2.95,2.45,3.3,2.775,40,1.021,1.0716,sheffield united,birmingham city,,,,
2026-08-11T14:03:59+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_efl_champ,ELC,Watford,Southampton,3.7,3.75,2.15,3.3,3.5,2.08,38,1.0021,1.0695,watford,southampton,,,,
2026-08-11T14:03:59+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_efl_champ,ELC,Burnley,West Ham United,3.1,3.75,2.45,2.88,3.46,2.3,39,0.9974,1.071,burnley,west ham united,,,,
2026-08-11T14:03:59+00:00,2026-08-17,2026-08-17T19:00:00Z,soccer_efl_champ,ELC,Cardiff City,Wrexham AFC,2.54,3.7,2.9,2.35,3.4450000000000003,2.75,38,1.0088,1.0794,cardiff city,wrexham,,,,
