over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
2.05,1.82,1.92,1.77,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league1,EL1,Notts County,Leicester City,3.85,3.6,2.1,3.5,3.4,2.02,33,1.0137,1.0749,notts county,leicester city
1.88,1.94,1.815,1.88,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league1,EL1,Reading,Luton,3.7,3.5,2.26,3.25,3.35,2.1,33,0.9985,1.0824,reading,luton
2.17,1.73,2.035,1.67,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league1,EL1,Oxford United,Milton Keynes Dons,2.2,3.4,3.45,2.15,3.25,3.3,33,1.0385,1.0758,oxford united,milton keynes dons
1.93,1.92,1.83,1.875,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Barnsley,Bromley FC,2.2,3.6,3.55,2.02,3.4,3.45,33,1.014,1.079,barnsley,bromley
2.01,1.85,1.92,1.8,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Blackpool,Wycombe Wanderers,2.62,3.5,2.76,2.52,3.25,2.65,32,1.0297,1.0819,blackpool,wycombe wanderers
1.85,1.99,1.78,1.89,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Bradford City,Peterborough United,1.75,4.0,5.1,1.67,3.75,4.8,32,1.0175,1.0738,bradford city,peterborough united
2.42,1.57,2.33,1.515,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Burton Albion,Stevenage,2.48,3.2,3.35,2.3,3.01,3.15,32,1.0142,1.0845,burton albion,stevenage
2.23,1.65,2.16,1.605,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Cambridge United,Wigan Athletic,2.38,3.3,3.25,2.32,3.15,3.0,33,1.0309,1.0818,cambridge united,wigan athletic
1.88,1.94,1.87,1.84,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Mansfield Town,Doncaster Rovers,2.22,3.51,3.55,2.09,3.4,3.34,33,1.017,1.072,mansfield town,doncaster rovers
1.73,2.11,1.67,2.06,2026-08-12T15:37:53+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league1,EL1,Huddersfield Town,Wimbledon,1.65,4.2,5.7,1.6,4.0,5.0,32,1.0196,1.075,huddersfield town,wimbledon
