over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
2.02,1.78,1.94,1.75,1.29,3.4,1.29,3.4,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league2,EL2,Newport County,Rochdale,3.3,3.5,2.35,3.025,3.25,2.25,34,1.0143,1.0827,newport county,rochdale
2.08,1.74,2.0700000000000003,1.685,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league2,EL2,Oldham Athletic,Port Vale,2.7,3.4,2.72,2.61,3.12,2.62,34,1.0321,1.0853,oldham athletic,port vale
2.14,1.75,2.055,1.7,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Accrington Stanley,Colchester United,2.62,3.4,2.86,2.5,3.165,2.7,34,1.0254,1.0863,accrington stanley,colchester united
2.0,1.85,1.92,1.76,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Barnet,Salford City,2.44,3.4,3.09,2.28,3.25,2.95,33,1.0276,1.0853,barnet,salford city
2.06,1.74,1.94,1.735,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,York City,Bristol Rovers,2.34,3.45,3.4,2.2,3.25,3.25,29,1.0113,1.0699,york city,bristol rovers
1.91,1.88,1.85,1.85,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Cheltenham Town,Rotherham United,2.86,3.5,2.55,2.64,3.3,2.5,34,1.0275,1.0818,cheltenham town,rotherham united
2.01,1.76,1.95,1.75,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Chesterfield FC,Fleetwood Town,1.92,3.6,4.4,1.82,3.4,4.2,34,1.0259,1.0817,chesterfield,fleetwood town
1.95,1.88,1.88,1.8,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Crawley Town,Crewe Alexandra,2.6,3.5,2.76,2.5,3.25,2.68,34,1.0326,1.0808,crawley town,crewe alexandra
1.88,1.98,1.83,1.88,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Grimsby Town,Exeter City,1.83,3.9,4.9,1.76,3.6,4.28,33,1.0069,1.0796,grimsby town,exeter city
2.01,1.76,1.95,1.75,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Gillingham,Walsall,2.31,3.4,3.3,2.25,3.24,3.05,33,1.03,1.081,gillingham,walsall
1.95,1.87,1.87,1.83,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Northampton Town,Swindon Town,2.22,3.55,3.56,2.09,3.3,3.3,34,1.013,1.0845,northampton town,swindon town
2.12,1.73,2.0,1.68,,,,,2026-08-12T15:37:54+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Tranmere Rovers,Shrewsbury Town,2.32,3.4,3.15,2.27,3.2,3.0,34,1.0426,1.0864,tranmere rovers,shrewsbury town
2.08,1.79,1.965,1.75,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league2,EL2,Newport County,Rochdale,3.25,3.5,2.35,3.05,3.25,2.25,34,1.0189,1.08,newport county,rochdale
2.08,1.72,2.08,1.69,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T11:30:00Z,soccer_england_league2,EL2,Oldham Athletic,Port Vale,2.7,3.4,2.88,2.61,3.175,2.625,34,1.0117,1.0791,oldham athletic,port vale
2.14,1.79,2.055,1.7,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Accrington Stanley,Colchester United,2.69,3.3,2.96,2.55,3.2,2.7350000000000003,34,1.0126,1.0703,accrington stanley,colchester united
2.0,1.87,1.92,1.76,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Barnet,Salford City,2.38,3.4,3.15,2.29,3.3,3.0,33,1.0317,1.073,barnet,salford city
2.06,1.76,1.95,1.74,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,York City,Bristol Rovers,2.4,3.4,3.35,2.2,3.25,3.2,29,1.0093,1.0747,york city,bristol rovers
1.92,1.92,1.875,1.85,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Cheltenham Town,Rotherham United,2.8,3.5,2.6,2.675,3.3,2.5,34,1.0275,1.0769,cheltenham town,rotherham united
2.01,1.76,1.95,1.75,,,,,2026-08-14T09:49:13+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_england_league2,EL2,Chesterfield FC,Fleetwood Town,1.86,3.6,4.5,1.82,3.4450000000000003,4.2,34,1.0376,1.0778,chesterfield,fleetwood town
