over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.83,2.07,1.73,2.01,2026-08-12T15:37:55+00:00,2026-08-14,2026-08-14T15:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,VPS Vaasa,TPS Turku,1.75,4.1,5.2,1.67,3.75,4.7,34,1.0076,1.0782,vps vaasa,tps turku
1.44,2.75,1.42,2.6,2026-08-12T15:37:55+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,IFK Mariehamn,SJK Seinäjoki,6.0,4.94,1.52,5.6,4.5,1.435,32,1.027,1.0977,ifk mariehamn,sjk seinajoki
1.44,2.88,1.44,2.72,2026-08-12T15:37:55+00:00,2026-08-16,2026-08-16T13:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,HJK Helsinki,Jaro,1.32,5.8,9.4,1.3,5.2,7.75,32,1.0364,1.0906,hjk helsinki,jaro
2.2,1.78,1.88,1.77,2026-08-12T15:37:55+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,AC Oulu,FC Inter Turku,3.45,3.35,2.4,3.25,3.29,2.1,28,1.005,1.0878,oulu,inter turku
2.01,1.91,1.8,1.88,2026-08-12T15:37:55+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,FC Lahti,KuPS Kuopio,2.65,3.56,2.7,2.545,3.3,2.525,30,1.0286,1.092,lahti,kups kuopio
1.58,2.38,1.57,2.18,2026-08-12T15:37:55+00:00,2026-08-17,2026-08-17T15:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,IF Gnistan,Ilves Tampere,2.4,3.75,2.94,2.22,3.5,2.75,31,1.0235,1.0998,if gnistan,ilves tampere
1.91,2.08,1.8,2.0,2026-08-14T09:49:17+00:00,2026-08-14,2026-08-14T15:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,VPS Vaasa,TPS Turku,1.81,4.0,4.9,1.7,3.65,4.5,35,1.0066,1.0844,vps vaasa,tps turku
1.44,2.75,1.42,2.6,2026-08-14T09:49:17+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,IFK Mariehamn,SJK Seinäjoki,6.2,5.1,1.52,5.5,4.6,1.44,35,1.0153,1.0937,ifk mariehamn,sjk seinajoki
1.44,2.88,1.44,2.72,2026-08-14T09:49:17+00:00,2026-08-16,2026-08-16T13:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,HJK Helsinki,Jaro,1.32,5.9,9.6,1.295,5.175,8.0,34,1.0312,1.0904,hjk helsinki,jaro
2.15,1.78,2.0,1.76,2026-08-14T09:49:17+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,AC Oulu,FC Inter Turku,3.4,3.4,2.31,3.125,3.2,2.15,34,1.0211,1.0976,oulu,inter turku
2.01,1.91,1.84,1.86,2026-08-14T09:49:17+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,FC Lahti,KuPS Kuopio,2.72,3.54,2.7,2.515,3.3,2.5,32,1.0205,1.1006,lahti,kups kuopio
1.6,2.34,1.57,2.215,2026-08-14T09:49:17+00:00,2026-08-17,2026-08-17T15:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,IF Gnistan,Ilves Tampere,2.43,3.75,2.91,2.3,3.5,2.7,31,1.0218,1.0909,if gnistan,ilves tampere
1.68,2.2,1.65,2.1,2026-08-20T09:09:43+00:00,2026-08-21,2026-08-21T16:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,SJK Seinäjoki,FC Lahti,2.6,3.9,2.74,2.4,3.4,2.55,35,1.006,1.1029,sjk seinajoki,lahti
1.78,2.12,1.7,2.09,2026-08-20T09:09:43+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,Jaro,AC Oulu,3.2,3.63,2.27,3.04,3.5,2.1,31,1.0285,1.0909,jaro,oulu
1.65,2.32,1.6,2.25,2026-08-20T09:09:43+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,Ilves Tampere,VPS Vaasa,2.33,3.95,3.05,2.2300000000000004,3.5,2.75,32,1.0102,1.0978,ilves tampere,vps vaasa
1.49,2.52,1.49,2.52,2026-08-20T09:09:43+00:00,2026-08-23,2026-08-23T12:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,HJK Helsinki,IF Gnistan,1.7,4.33,4.7,1.62,4.0,4.33,32,1.0319,1.0982,hjk helsinki,if gnistan
1.39,2.9,1.39,2.85,2026-08-20T09:09:43+00:00,2026-08-23,2026-08-23T12:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,KuPS Kuopio,IFK Mariehamn,1.25,6.66,12.5,1.22,6.0,9.5,32,1.0302,1.0916,kups kuopio,ifk mariehamn
1.93,1.94,1.8,1.88,2026-08-20T09:09:43+00:00,2026-08-23,2026-08-23T15:00:00Z,soccer_finland_veikkausliiga,FIN-VEIKKAUS,TPS Turku,FC Inter Turku,4.1,3.9,1.98,3.6,3.4,1.9,32,1.0054,1.0982,tps turku,inter turku
