over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.91,1.93,1.82,1.85,2026-08-12T15:37:49+00:00,2026-08-14,2026-08-14T16:30:00Z,soccer_germany_bundesliga2,BL2,Eintracht Braunschweig,VfL Bochum,2.5,3.4,2.95,2.42,3.24,2.75,37,1.0331,1.0855,eintracht braunschweig,bochum
1.8,2.06,1.76,1.95,2026-08-12T15:37:49+00:00,2026-08-14,2026-08-14T16:30:00Z,soccer_germany_bundesliga2,BL2,Holstein Kiel,FC St. Pauli,2.4,3.65,2.92,2.3,3.425,2.75,38,1.0331,1.0904,holstein kiel,st pauli
1.65,2.2,1.6,2.19,2026-08-12T15:37:49+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,Hertha Berlin,1. FC Heidenheim,2.3,3.8,3.04,2.2,3.5,2.91,29,1.0269,1.0839,hertha berlin,1 fc heidenheim
1.6,2.32,1.52,2.32,2026-08-12T15:37:49+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,VfL Osnabrück,1. FC Magdeburg,2.55,3.85,2.64,2.4,3.6,2.55,29,1.0307,1.0866,osnabruck,1 fc magdeburg
1.7,2.16,1.66,2.09,2026-08-12T15:37:49+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,Greuther Fürth,1. FC Nürnberg,3.1,3.7,2.35,2.88,3.5,2.25,29,1.0184,1.0774,greuther furth,1 fc nurnberg
1.52,2.4,1.52,2.35,2026-08-12T15:37:49+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_germany_bundesliga2,BL2,1. FC Kaiserslautern,Karlsruher SC,1.91,4.2,3.75,1.85,3.8,3.55,29,1.0283,1.0854,1 fc kaiserslautern,karlsruher
1.58,2.33,1.55,2.25,2026-08-12T15:37:49+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Arminia Bielefeld,FC Energie Cottbus,1.8,4.2,4.35,1.73,3.8,4.0,29,1.0235,1.0912,arminia bielefeld,energie cottbus
1.63,2.25,1.6,2.2,2026-08-12T15:37:49+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Dynamo Dresden,SV Darmstadt 98,2.12,3.85,3.2,2.08,3.6,3.1,29,1.0439,1.0811,dynamo dresden,darmstadt 98
1.66,2.2,1.62,2.15,2026-08-12T15:37:49+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Hannover 96,VfL Wolfsburg,2.6,3.8,2.55,2.45,3.6,2.43,23,1.0399,1.0975,hannover 96,wolfsburg
1.79,2.24,1.74,2.015,2026-08-14T09:49:04+00:00,2026-08-14,2026-08-14T16:30:00Z,soccer_germany_bundesliga2,BL2,Eintracht Braunschweig,VfL Bochum,2.44,3.6,3.15,2.285,3.355,2.9,38,1.0051,1.0805,eintracht braunschweig,bochum
1.82,2.18,1.745,2.045,2026-08-14T09:49:04+00:00,2026-08-14,2026-08-14T16:30:00Z,soccer_germany_bundesliga2,BL2,Holstein Kiel,FC St. Pauli,2.54,3.66,2.96,2.38,3.415,2.75,38,1.0048,1.0766,holstein kiel,st pauli
1.65,2.2,1.65,2.15,2026-08-14T09:49:04+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,Hertha Berlin,1. FC Heidenheim,2.34,3.8,3.05,2.25,3.5,2.88,38,1.0184,1.0774,hertha berlin,1 fc heidenheim
1.55,2.32,1.51,2.3,2026-08-14T09:49:04+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,VfL Osnabrück,1. FC Magdeburg,2.68,4.0,2.64,2.5,3.5,2.5,37,1.0019,1.0857,osnabruck,1 fc magdeburg
1.7,2.22,1.65,2.1,2026-08-14T09:49:04+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_germany_bundesliga2,BL2,Greuther Fürth,1. FC Nürnberg,3.1,3.75,2.3,2.9,3.5,2.2,38,1.024,1.0851,greuther furth,1 fc nurnberg
1.52,2.4,1.5,2.33,2026-08-14T09:49:04+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_germany_bundesliga2,BL2,1. FC Kaiserslautern,Karlsruher SC,1.94,4.2,3.95,1.84,3.8,3.6,38,1.0067,1.0844,1 fc kaiserslautern,karlsruher
1.57,2.35,1.56,2.24,2026-08-14T09:49:04+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Arminia Bielefeld,FC Energie Cottbus,1.78,4.3,4.6,1.7,3.9,4.125,38,1.0117,1.0871,arminia bielefeld,energie cottbus
1.62,2.31,1.57,2.17,2026-08-14T09:49:04+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Dynamo Dresden,SV Darmstadt 98,2.18,3.95,3.35,2.05,3.625,3.17,38,1.0104,1.0791,dynamo dresden,darmstadt 98
1.65,2.3,1.61,2.15,2026-08-14T09:49:04+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_germany_bundesliga2,BL2,Hannover 96,VfL Wolfsburg,2.5,3.8,2.8,2.38,3.5,2.63,37,1.0203,1.0861,hannover 96,wolfsburg
1.68,2.2,1.65,2.12,2026-08-20T09:09:36+00:00,2026-08-28,2026-08-28T16:30:00Z,soccer_germany_bundesliga2,BL2,Eintracht Braunschweig,Hertha Berlin,2.86,3.7,2.35,2.77,3.4,2.25,23,1.0455,1.0996,eintracht braunschweig,hertha berlin
1.6,2.33,1.55,2.28,2026-08-20T09:09:36+00:00,2026-08-28,2026-08-28T16:30:00Z,soccer_germany_bundesliga2,BL2,VfL Bochum,VfL Osnabrück,1.55,4.6,6.0,1.48,4.2,5.4,20,1.0292,1.099,bochum,osnabruck
1.6,2.3,1.55,2.25,2026-08-20T09:09:36+00:00,2026-08-29,2026-08-29T11:00:00Z,soccer_germany_bundesliga2,BL2,1. FC Heidenheim,Dynamo Dresden,2.08,3.85,3.5,2.0,3.45,3.18,21,1.0262,1.1043,1 fc heidenheim,dynamo dresden
1.49,2.45,1.49,2.45,2026-08-20T09:09:36+00:00,2026-08-29,2026-08-29T11:00:00Z,soccer_germany_bundesliga2,BL2,FC Energie Cottbus,Greuther Fürth,2.55,4.0,2.5,2.45,3.67,2.4,21,1.0422,1.0973,energie cottbus,greuther furth
1.43,2.62,1.43,2.62,2026-08-20T09:09:36+00:00,2026-08-29,2026-08-29T11:00:00Z,soccer_germany_bundesliga2,BL2,Karlsruher SC,VfL Wolfsburg,4.3,4.4,1.75,3.91,3.8,1.72,21,1.0313,1.1003,karlsruher,wolfsburg
1.68,2.2,1.63,2.12,2026-08-20T09:09:36+00:00,2026-08-29,2026-08-29T18:30:00Z,soccer_germany_bundesliga2,BL2,1. FC Nürnberg,Arminia Bielefeld,1.95,3.9,3.78,1.83,3.6,3.6,21,1.0338,1.102,1 fc nurnberg,arminia bielefeld
1.6,2.3,1.55,2.28,2026-08-20T09:09:36+00:00,2026-08-30,2026-08-30T11:30:00Z,soccer_germany_bundesliga2,BL2,FC St. Pauli,1. FC Kaiserslautern,1.98,3.92,3.8,1.9,3.45,3.5,19,1.0233,1.1019,st pauli,1 fc kaiserslautern
1.55,2.4,1.52,2.32,2026-08-20T09:09:36+00:00,2026-08-30,2026-08-30T11:30:00Z,soccer_germany_bundesliga2,BL2,1. FC Magdeburg,Holstein Kiel,2.12,3.85,3.1,2.08,3.5,3.04,19,1.054,1.0954,1 fc magdeburg,holstein kiel
1.52,2.35,1.52,2.35,2026-08-20T09:09:36+00:00,2026-08-30,2026-08-30T11:30:00Z,soccer_germany_bundesliga2,BL2,SV Darmstadt 98,Hannover 96,3.4,4.0,2.05,3.25,3.6,1.96,19,1.0319,1.0957,darmstadt 98,hannover 96
