over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.62,2.26,1.61,2.24,2026-08-12T15:37:58+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,AEK Athens,Iraklis FC,1.24,5.8,11.0,1.2,5.05,9.5,10,1.0698,1.1366,aek athens,iraklis
2.33,1.58,2.315,1.565,2026-08-12T15:37:58+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,Kalamata FC,Aris Thessaloniki,3.98,3.25,2.08,3.675,3.0,1.95,10,1.0397,1.1183,kalamata,aris thessaloniki
1.65,2.21,1.62,2.2,2026-08-12T15:37:58+00:00,2026-08-22,2026-08-22T19:00:00Z,soccer_greece_super_league,GSL,Olympiakos Piraeus,Atromitos Athens,1.23,6.0,15.0,1.1749999999999998,5.6,12.0,14,1.0463,1.113,olympiakos piraeus,atromitos athens
1.92,1.9,1.865,1.865,2026-08-12T15:37:58+00:00,2026-08-23,2026-08-23T16:30:00Z,soccer_greece_super_league,GSL,OFI Crete,Volos FC,2.01,3.5,3.9,1.9,3.25,3.6,14,1.0396,1.1118,ofi crete,volos
1.89,1.92,1.885,1.885,2026-08-12T15:37:58+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,Panathinaikos,AE Kifisia FC,1.25,5.75,15.0,1.19,5.0,12.875,16,1.0406,1.118,panathinaikos,ae kifisia
1.82,2.0,1.79,1.98,2026-08-12T15:37:58+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,PAOK Thessaloniki,Levadiakos,1.34,5.0,9.7,1.29,4.525,8.5,16,1.0494,1.1138,paok thessaloniki,levadiakos
2.34,1.58,2.32,1.55,2026-08-12T15:37:58+00:00,2026-08-23,2026-08-23T18:30:00Z,soccer_greece_super_league,GSL,Panetolikos Agrinio,Asteras Tripolis,2.6,3.15,2.85,2.45,3.0,2.62,16,1.053,1.1232,panetolikos agrinio,asteras tripolis
1.62,2.26,1.61,2.24,2026-08-14T09:49:20+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,AEK Athens,Iraklis FC,1.25,5.6,11.0,1.21,5.25,10.0,12,1.0695,1.1169,aek athens,iraklis
2.31,1.59,2.305,1.57,2026-08-14T09:49:20+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,Kalamata FC,Aris Thessaloniki,4.04,3.25,2.08,3.7,3.0,1.97,12,1.036,1.1112,kalamata,aris thessaloniki
1.75,2.15,1.7,2.0700000000000003,2026-08-14T09:49:20+00:00,2026-08-22,2026-08-22T19:00:00Z,soccer_greece_super_league,GSL,Olympiakos Piraeus,Atromitos Athens,1.29,5.7,12.84,1.215,5.3,10.25,16,1.0285,1.1093,olympiakos piraeus,atromitos athens
1.85,1.96,1.825,1.93,2026-08-14T09:49:20+00:00,2026-08-23,2026-08-23T16:30:00Z,soccer_greece_super_league,GSL,OFI Crete,Volos FC,1.89,3.75,4.2,1.79,3.37,3.97,16,1.0339,1.1073,ofi crete,volos
1.99,1.87,1.935,1.805,2026-08-14T09:49:20+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,Panathinaikos,AE Kifisia FC,1.37,5.22,12.83,1.26,4.6,9.5,18,0.9994,1.1163,panathinaikos,ae kifisia
1.7,2.2,1.65,2.12,2026-08-14T09:49:20+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,PAOK Thessaloniki,Levadiakos,1.36,5.0,9.0,1.3,4.6,7.8,18,1.0464,1.1148,paok thessaloniki,levadiakos
2.44,1.57,2.36,1.53,2026-08-14T09:49:20+00:00,2026-08-23,2026-08-23T18:30:00Z,soccer_greece_super_league,GSL,Panetolikos Agrinio,Asteras Tripolis,2.8,3.15,2.8,2.525,2.92,2.6100000000000003,18,1.0317,1.1216,panetolikos agrinio,asteras tripolis
1.45,2.45,1.45,2.45,2026-08-20T09:09:45+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,AEK Athens,Aris Thessaloniki,1.17,7.5,15.5,1.17,6.4,12.5,11,1.0526,1.091,aek athens,aris thessaloniki
1.53,2.55,1.52,2.52,2026-08-20T09:09:45+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,AEK Athens,Iraklis FC,1.2,7.2,17.5,1.17,6.5,14.02,17,1.0294,1.0799,aek athens,iraklis
2.31,1.6,2.24,1.58,2026-08-20T09:09:45+00:00,2026-08-22,2026-08-22T17:00:00Z,soccer_greece_super_league,GSL,Kalamata FC,Aris Thessaloniki,3.5,3.25,2.32,3.25,3.01,2.2,24,1.0244,1.0945,kalamata,aris thessaloniki
1.74,2.15,1.71,2.0,2026-08-20T09:09:45+00:00,2026-08-22,2026-08-22T18:30:00Z,soccer_greece_super_league,GSL,Olympiakos Piraeus,Atromitos Athens,1.28,5.7,15.5,1.23,5.25,10.5,37,1.0212,1.0987,olympiakos piraeus,atromitos athens
1.92,1.95,1.82,1.875,2026-08-20T09:09:45+00:00,2026-08-23,2026-08-23T16:30:00Z,soccer_greece_super_league,GSL,OFI Crete,Volos FC,2.16,3.6,3.43,2.05,3.2,3.2,35,1.0323,1.1128,ofi crete,volos
1.95,1.75,1.95,1.75,2026-08-20T09:09:45+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,Panathinaikos,AE Kifisia FC,1.33,4.75,11.0,1.29,4.5,9.5,8,1.0533,1.1027,panathinaikos,ae kifisia
1.67,2.2,1.61,2.12,2026-08-20T09:09:45+00:00,2026-08-23,2026-08-23T18:00:00Z,soccer_greece_super_league,GSL,PAOK Thessaloniki,Levadiakos,1.38,5.0,8.5,1.33,4.75,7.75,35,1.0423,1.0914,paok thessaloniki,levadiakos
2.44,1.56,2.395,1.495,2026-08-20T09:09:45+00:00,2026-08-23,2026-08-23T18:30:00Z,soccer_greece_super_league,GSL,Panetolikos Agrinio,Asteras Tripolis,2.85,3.15,2.76,2.62,2.92,2.68,35,1.0307,1.0973,panetolikos agrinio,asteras tripolis
