over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons,home_key,away_key
2.2,1.65,2.18,1.6,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Avellino,Arezzo,2.25,3.4,3.52,2.08,3.2,3.1,24,1.0227,1.1158,,,,,avellino,arezzo
,,,,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Hellas Verona,Ascoli,1.5,3.5,6.5,1.5,3.375,6.0,2,1.1062,1.1296,,,,,hellas verona,ascoli
2.0,1.88,1.965,1.74,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Benevento,Modena,2.5,3.4,3.16,2.35,3.025,2.8,26,1.0106,1.1133,,,,,benevento,modena
2.03,1.87,1.905,1.8,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Carrarese,Mantova,2.41,3.3,3.3,2.15,3.1,3.07,26,1.021,1.1134,,,,,carrarese,mantova
,,,,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Cesena FC,Sampdoria,2.7,3.1,2.6,2.62,3.0,2.5,3,1.0776,1.115,,,,,cesena,sampdoria
2.06,1.81,2.0,1.72,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Empoli,Cremonese,2.85,3.3,2.68,2.7,3.0,2.43,26,1.027,1.1152,,,,,empoli,cremonese
,,,,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Palermo,Juve Stabia,1.5,3.7,7.0,1.5,3.6,6.5,3,1.0798,1.0983,,,,,palermo,juve stabia
,,,,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Pisa,Padova,1.73,3.3,5.0,1.67,3.2,5.0,3,1.0811,1.1113,,,,,pisa,padova
2.5,1.53,2.4,1.5,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Südtirol,Virtus Entella,2.1,3.2,4.1,1.94,2.99,3.945,26,1.0326,1.1034,1.47,2.5,1.46,2.47,sudtirol,virtus entella
2.1,1.73,2.06,1.68,2026-08-12T15:38:06+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_italy_serie_b,SB,Vicenza,US Catanzaro 1929,2.63,3.3,2.85,2.48,3.0,2.65,22,1.0341,1.1139,,,,,vicenza,catanzaro 1929
