over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.63,2.28,1.57,2.225,2026-08-12T15:38:00+00:00,2026-08-15,2026-08-15T23:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Atlante FC,Toluca,6.8,4.75,1.51,6.0,4.2,1.44,33,1.0198,1.0992,atlante,toluca
1.5,2.48,1.5,2.48,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T01:10:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Monterrey,FC Juárez,1.55,4.65,5.8,1.5,4.2,5.4,33,1.0326,1.0899,monterrey,juarez
2.13,1.75,2.05,1.68,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T03:10:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Atlas,Tigres,3.5,3.4,2.25,3.1,3.2,2.15,33,1.0243,1.1002,atlas,tigres
1.75,2.14,1.68,2.05,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T18:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Pumas,Querétaro,1.88,3.85,4.36,1.81,3.56,3.95,33,1.021,1.0865,pumas,queretaro
1.65,2.21,1.63,2.15,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T23:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,América,Atlético San Luis,1.56,4.45,6.4,1.5,4.15,5.7,31,1.022,1.0831,america,atletico san luis
1.52,2.38,1.52,2.38,2026-08-12T15:38:00+00:00,2026-08-17,2026-08-17T01:10:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Santos Laguna,Guadalajara,6.0,4.6,1.55,5.4,4.2,1.5,33,1.0292,1.0899,santos laguna,guadalajara
1.84,2.0,1.775,1.955,2026-08-12T15:38:00+00:00,2026-08-17,2026-08-17T03:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Tijuana,Cruz Azul,3.25,3.6,2.26,3.1,3.3,2.1,33,1.0279,1.1018,tijuana,cruz azul
1.69,2.2,1.62,2.13,2026-08-12T15:38:00+00:00,2026-08-18,2026-08-18T01:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Necaxa,León,2.24,3.6,3.2,2.1,3.435,3.05,28,1.0367,1.0952,necaxa,leon
1.68,2.16,1.64,2.12,2026-08-12T15:38:00+00:00,2026-08-18,2026-08-18T03:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Pachuca,Puebla,1.51,4.5,6.79,1.44,4.2,6.0,28,1.0317,1.0992,pachuca,puebla
1.62,2.23,1.57,2.215,2026-08-12T15:38:00+00:00,2026-08-22,2026-08-22T01:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Tigres,Atlante FC,1.37,4.75,8.8,1.34,4.5,7.5,12,1.0541,1.1018,tigres,atlante
1.78,1.98,1.75,1.95,2026-08-12T15:38:00+00:00,2026-08-22,2026-08-22T03:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,FC Juárez,América,3.73,3.55,1.94,3.7,3.5,1.88,13,1.0653,1.0879,juarez,america
1.65,2.28,1.57,2.225,2026-08-14T09:49:22+00:00,2026-08-15,2026-08-15T23:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Atlante FC,Toluca,6.8,4.75,1.51,6.0,4.22,1.44,33,1.0198,1.0981,atlante,toluca
1.52,2.42,1.52,2.42,2026-08-14T09:49:22+00:00,2026-08-16,2026-08-16T01:10:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Monterrey,FC Juárez,1.55,4.65,5.8,1.5,4.25,5.5,33,1.0326,1.0838,monterrey,juarez
2.13,1.75,2.05,1.68,2026-08-14T09:49:22+00:00,2026-08-16,2026-08-16T03:10:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Atlas,Tigres,3.45,3.4,2.25,3.2,3.2,2.18,33,1.0284,1.0837,atlas,tigres
1.75,2.14,1.68,2.05,2026-08-14T09:49:22+00:00,2026-08-16,2026-08-16T18:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,Pumas,Querétaro,1.87,3.85,4.36,1.82,3.6,3.93,33,1.0239,1.0817,pumas,queretaro
1.65,2.21,1.65,2.1100000000000003,2026-08-14T09:49:22+00:00,2026-08-16,2026-08-16T23:00:00Z,soccer_mexico_ligamx,MEX-LIGAMX,América,Atlético San Luis,1.56,4.45,6.4,1.5,4.2,5.8,31,1.022,1.0772,america,atletico san luis
