over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.62,2.36,1.57,2.25,2026-08-12T15:37:52+00:00,2026-08-14,2026-08-14T18:00:00Z,soccer_netherlands_eredivisie,DED,SC Telstar,Sparta Rotterdam,2.38,3.85,3.1,2.245,3.6,2.89,38,1.0025,1.0692,telstar,sparta rotterdam
1.42,2.8,1.42,2.79,2026-08-12T15:37:52+00:00,2026-08-15,2026-08-15T14:30:00Z,soccer_netherlands_eredivisie,DED,Willem II,NEC Nijmegen,5.6,4.75,1.57,5.18,4.5,1.505,38,1.026,1.0797,willem ii,nec nijmegen
1.6,2.4,1.585,2.28,2026-08-12T15:37:52+00:00,2026-08-15,2026-08-15T16:45:00Z,soccer_netherlands_eredivisie,DED,FC Utrecht,AZ Alkmaar,2.85,3.85,2.48,2.7,3.65,2.325,38,1.0138,1.0745,utrecht,az alkmaar
1.4,3.04,1.36,3.04,2026-08-12T15:37:52+00:00,2026-08-15,2026-08-15T18:00:00Z,soccer_netherlands_eredivisie,DED,Excelsior,PSV Eindhoven,5.25,4.5,1.65,4.75,4.3,1.585,38,1.0188,1.074,excelsior,psv eindhoven
1.53,2.62,1.47,2.62,2026-08-12T15:37:52+00:00,2026-08-15,2026-08-15T19:00:00Z,soccer_netherlands_eredivisie,DED,Fortuna Sittard,SC Cambuur,1.74,4.32,4.75,1.69,4.0,4.25,38,1.0167,1.077,fortuna sittard,cambuur
1.67,2.27,1.63,2.17,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T10:15:00Z,soccer_netherlands_eredivisie,DED,ADO Den Haag,Groningen,2.88,3.75,2.46,2.71,3.6,2.33,35,1.0204,1.076,ado den haag,groningen
1.34,3.2,1.34,3.14,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_netherlands_eredivisie,DED,FC Twente Enschede,FC Zwolle,1.26,7.07,11.7,1.22,6.4,10.0,37,1.0206,1.0759,twente enschede,zwolle
1.36,3.14,1.34,3.14,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_netherlands_eredivisie,DED,Feyenoord,Go Ahead Eagles,1.4,5.7,8.0,1.36,5.1,6.64,37,1.0147,1.082,feyenoord,go ahead eagles
1.4,2.85,1.4,2.85,2026-08-12T15:37:52+00:00,2026-08-16,2026-08-16T14:45:00Z,soccer_netherlands_eredivisie,DED,Ajax,Heerenveen,1.49,5.4,7.0,1.43,4.75,6.0,37,0.9992,1.0765,ajax,heerenveen
1.63,2.52,1.585,2.28,2026-08-14T09:49:08+00:00,2026-08-14,2026-08-14T18:00:00Z,soccer_netherlands_eredivisie,DED,SC Telstar,Sparta Rotterdam,2.24,3.9,3.35,2.12,3.7,3.1,39,1.0013,1.0645,telstar,sparta rotterdam
1.45,2.66,1.45,2.66,2026-08-14T09:49:08+00:00,2026-08-15,2026-08-15T14:30:00Z,soccer_netherlands_eredivisie,DED,Willem II,NEC Nijmegen,5.3,4.64,1.65,4.785,4.34,1.57,38,1.0103,1.0763,willem ii,nec nijmegen
1.62,2.36,1.585,2.3,2026-08-14T09:49:08+00:00,2026-08-15,2026-08-15T16:45:00Z,soccer_netherlands_eredivisie,DED,FC Utrecht,AZ Alkmaar,2.85,3.85,2.5,2.7,3.65,2.33,38,1.0106,1.0735,utrecht,az alkmaar
1.35,3.14,1.34,3.14,2026-08-14T09:49:08+00:00,2026-08-15,2026-08-15T18:00:00Z,soccer_netherlands_eredivisie,DED,Excelsior,PSV Eindhoven,5.75,4.75,1.65,5.0,4.375,1.5550000000000002,38,0.9905,1.0717,excelsior,psv eindhoven
1.53,2.51,1.5,2.51,2026-08-14T09:49:08+00:00,2026-08-15,2026-08-15T19:00:00Z,soccer_netherlands_eredivisie,DED,Fortuna Sittard,SC Cambuur,1.76,4.35,4.8,1.69,4.074999999999999,4.25,38,1.0064,1.0724,fortuna sittard,cambuur
1.67,2.25,1.645,2.15,2026-08-14T09:49:08+00:00,2026-08-16,2026-08-16T10:15:00Z,soccer_netherlands_eredivisie,DED,ADO Den Haag,Groningen,2.88,3.75,2.5,2.73,3.6,2.375,36,1.0139,1.0651,ado den haag,groningen
1.36,3.2,1.36,3.04,2026-08-14T09:49:08+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_netherlands_eredivisie,DED,FC Twente Enschede,FC Zwolle,1.26,7.05,12.5,1.22,6.4,10.0,38,1.0155,1.0759,twente enschede,zwolle
1.36,3.14,1.34,3.14,2026-08-14T09:49:08+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_netherlands_eredivisie,DED,Feyenoord,Go Ahead Eagles,1.42,6.1,7.8,1.35,5.4,6.625,38,0.9964,1.0769,feyenoord,go ahead eagles
1.4,2.85,1.4,2.85,2026-08-14T09:49:08+00:00,2026-08-16,2026-08-16T14:45:00Z,soccer_netherlands_eredivisie,DED,Ajax,Heerenveen,1.49,5.1,6.75,1.4249999999999998,4.75,6.0,38,1.0154,1.0789,ajax,heerenveen
1.48,2.6,1.48,2.56,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T14:30:00Z,soccer_netherlands_eredivisie,DED,Fortuna Sittard,AZ Alkmaar,5.5,4.5,1.63,4.925000000000001,4.3,1.57,38,1.0175,1.0725,fortuna sittard,az alkmaar
1.75,2.15,1.7,2.1,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T16:45:00Z,soccer_netherlands_eredivisie,DED,Sparta Rotterdam,FC Utrecht,2.68,3.65,2.66,2.55,3.45,2.55,38,1.023,1.0742,sparta rotterdam,utrecht
1.44,2.62,1.44,2.62,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T18:00:00Z,soccer_netherlands_eredivisie,DED,NEC Nijmegen,Excelsior,1.53,4.87,6.12,1.495,4.7,5.5,12,1.0223,1.0635,nec nijmegen,excelsior
1.44,2.72,1.44,2.72,2026-08-20T09:09:39+00:00,2026-08-22,2026-08-22T19:00:00Z,soccer_netherlands_eredivisie,DED,Heerenveen,FC Zwolle,1.62,4.7,5.4,1.57,4.33,4.85,38,1.0152,1.0741,heerenveen,zwolle
1.55,2.45,1.53,2.45,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T10:15:00Z,soccer_netherlands_eredivisie,DED,Go Ahead Eagles,ADO Den Haag,1.8,4.1,4.6,1.73,3.9,4.2,36,1.0168,1.0725,go ahead eagles,ado den haag
1.33,3.19,1.33,3.19,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T12:30:00Z,soccer_netherlands_eredivisie,DED,PSV Eindhoven,Groningen,1.4,5.8,8.5,1.33,5.4,7.0,38,1.0043,1.0799,psv eindhoven,groningen
1.43,2.76,1.43,2.76,2026-08-20T09:09:39+00:00,2026-08-23,2026-08-23T14:45:00Z,soccer_netherlands_eredivisie,DED,SC Cambuur,Feyenoord,11.0,6.4,1.32,9.2,5.8,1.26,38,1.0047,1.0748,cambuur,feyenoord
