over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.46,2.68,1.42,2.6,2026-08-12T15:38:00+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Rosenborg,Viking FK,2.63,4.07,2.5,2.52,3.75,2.35,39,1.0259,1.089,rosenborg,viking fk
1.66,2.25,1.62,2.16,2026-08-12T15:38:00+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,KFUM,Lillestrom,2.77,3.6,2.6,2.6,3.4,2.4,37,1.0234,1.0954,kfum,lillestrom
1.4,2.95,1.39,2.95,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_norway_eliteserien,NOR-ELITESER,Aalesund,Vålerenga,2.95,4.0,2.28,2.7,3.775,2.2,38,1.0276,1.0898,aalesund,valerenga
1.44,2.72,1.44,2.72,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,SK Brann,HamKam,1.57,4.6,6.05,1.5,4.3,5.1,38,1.0196,1.0953,sk brann,hamkam
1.72,2.2,1.685,2.06,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Molde,Tromso,2.33,3.72,3.01,2.2,3.5,2.825,38,1.0302,1.0942,molde,tromso
1.5,2.52,1.5,2.52,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Sarpsborg FK,Sandefjord,1.8,4.1,4.32,1.74,3.875,3.75,38,1.0309,1.0994,sarpsborg fk,sandefjord
1.82,2.04,1.7,2.0,2026-08-12T15:38:00+00:00,2026-08-16,2026-08-16T17:15:00Z,soccer_norway_eliteserien,NOR-ELITESER,Fredrikstad FK,Kristiansund BK,2.0,3.7,4.1,1.85,3.5,3.75,36,1.0142,1.0929,fredrikstad fk,kristiansund bk
1.44,2.75,1.43,2.75,2026-08-14T09:49:23+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Rosenborg,Viking FK,2.52,4.08,2.68,2.4,3.75,2.49,40,1.0151,1.0849,rosenborg,viking fk
1.66,2.25,1.62,2.15,2026-08-14T09:49:23+00:00,2026-08-15,2026-08-15T14:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,KFUM,Lillestrom,2.96,3.9,2.6,2.75,3.45,2.3,37,0.9789,1.0883,kfum,lillestrom
1.39,2.95,1.39,2.95,2026-08-14T09:49:23+00:00,2026-08-16,2026-08-16T12:30:00Z,soccer_norway_eliteserien,NOR-ELITESER,Aalesund,Vålerenga,2.9,4.2,2.36,2.6900000000000004,3.75,2.25,38,1.0067,1.0829,aalesund,valerenga
1.44,2.72,1.44,2.72,2026-08-14T09:49:23+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,SK Brann,HamKam,1.6,4.5,5.8,1.51,4.3,5.225,38,1.0196,1.0862,sk brann,hamkam
1.72,2.21,1.68,2.06,2026-08-14T09:49:23+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Molde,Tromso,2.33,3.75,3.05,2.25,3.5,2.825,38,1.0237,1.0841,molde,tromso
1.5,2.52,1.5,2.52,2026-08-14T09:49:23+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Sarpsborg FK,Sandefjord,1.85,4.2,4.32,1.78,3.87,3.75,38,1.0101,1.0869,sarpsborg fk,sandefjord
1.82,2.04,1.7,2.0,2026-08-14T09:49:23+00:00,2026-08-16,2026-08-16T17:15:00Z,soccer_norway_eliteserien,NOR-ELITESER,Fredrikstad FK,Kristiansund BK,2.0,3.75,4.1,1.875,3.5,3.75,38,1.0106,1.0857,fredrikstad fk,kristiansund bk
1.36,3.25,1.32,3.25,2026-08-20T09:09:47+00:00,2026-08-29,2026-08-29T14:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Vålerenga,Molde,2.43,4.04,2.6,2.3,3.775,2.475,18,1.0437,1.1037,valerenga,molde
1.31,3.5,1.28,3.425,2026-08-20T09:09:47+00:00,2026-08-29,2026-08-29T16:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Viking FK,Aalesund,1.22,7.22,12.5,1.18,6.25,10.0,17,1.0382,1.1075,viking fk,aalesund
1.3,3.7,1.27,3.7,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T12:30:00Z,soccer_norway_eliteserien,NOR-ELITESER,Bodø/Glimt,Rosenborg,1.34,5.78,7.8,1.27,5.25,6.65,18,1.0475,1.1283,bod glimt,rosenborg
1.77,2.07,1.73,2.0,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,HamKam,Kristiansund BK,1.95,3.81,3.85,1.85,3.5,3.6,16,1.035,1.104,hamkam,kristiansund bk
1.75,2.02,1.7149999999999999,2.0,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,IK Start,KFUM,2.65,3.52,2.51,2.5,3.35,2.45,14,1.0599,1.1067,ik start,kfum
1.5,2.58,1.49,2.58,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Sandefjord,SK Brann,2.98,3.89,2.2,2.775,3.6500000000000004,2.1,16,1.0472,1.1105,sandefjord,sk brann
1.71,2.16,1.67,2.1,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T15:00:00Z,soccer_norway_eliteserien,NOR-ELITESER,Tromso,Sarpsborg FK,1.6,4.25,5.37,1.53,3.95,5.0,16,1.0465,1.1068,tromso,sarpsborg fk
1.53,2.42,1.52,2.42,2026-08-20T09:09:47+00:00,2026-08-30,2026-08-30T17:15:00Z,soccer_norway_eliteserien,NOR-ELITESER,Lillestrom,Fredrikstad FK,1.66,4.35,4.9,1.57,4.0,4.45,16,1.0364,1.1117,lillestrom,fredrikstad fk
