over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.63,2.25,1.62,2.12,2026-08-12T15:38:03+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Legia Warszawa,Radomiak Radom,1.61,4.2,5.5,1.57,4.0,5.0,36,1.041,1.0869,legia warszawa,radomiak radom
2.17,1.73,2.08,1.67,2026-08-12T15:38:03+00:00,2026-08-15,2026-08-15T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Zagłębie Lubin,Śląsk Wrocław,2.3,3.2,3.84,2.15,3.0,3.3,26,1.0077,1.1015,zag ebie lubin,slask wroc aw
1.73,2.1,1.7,2.02,2026-08-12T15:38:03+00:00,2026-08-15,2026-08-15T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Piast Gliwice,Wieczysta Kraków,2.15,3.75,3.45,2.05,3.4,3.135,24,1.0216,1.1009,piast gliwice,wieczysta krakow
2.21,1.7,2.12,1.65,2026-08-12T15:38:03+00:00,2026-08-15,2026-08-15T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Widzew Łódź,Korona Kielce,2.02,3.4,4.0,1.95,3.15,3.725,28,1.0392,1.0987,widzew odz,korona kielce
1.59,2.29,1.55,2.25,2026-08-12T15:38:03+00:00,2026-08-16,2026-08-16T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Motor Lublin,GKS Katowice,2.68,3.8,2.5,2.555,3.4,2.38,28,1.0363,1.1057,motor lublin,gks katowice
2.15,1.74,2.05,1.7,2026-08-12T15:38:03+00:00,2026-08-16,2026-08-16T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Cracovia Kraków,Raków Częstochowa,2.8,3.4,2.64,2.7,3.1,2.425,26,1.03,1.1053,cracovia krakow,rakow czestochowa
,,,,2026-08-12T15:38:03+00:00,2026-08-16,2026-08-16T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Jagiellonia Białystok,Pogoń Szczecin,2.3,3.8,2.9,2.2,3.6,2.8,6,1.0428,1.0895,jagiellonia bia ystok,pogon szczecin
1.75,2.06,1.745,2.0,2026-08-12T15:38:03+00:00,2026-08-16,2026-08-16T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Górnik Zabrze,Wisła Kraków,2.15,3.75,3.38,2.055,3.44,3.12,18,1.0276,1.0978,gornik zabrze,wis a krakow
,,,,2026-08-12T15:38:03+00:00,2026-08-16,2026-08-16T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Wisła Płock,Lech Poznań,4.1,3.9,1.78,3.9,3.68,1.73,7,1.0621,1.1062,wis a p ock,lech poznan
1.74,2.28,1.6,2.17,2026-08-14T09:49:28+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Legia Warszawa,Radomiak Radom,1.61,4.4,6.0,1.56,4.1,5.08,37,1.0151,1.0818,legia warszawa,radomiak radom
2.06,1.8,2.03,1.71,2026-08-14T09:49:28+00:00,2026-08-15,2026-08-15T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Zagłębie Lubin,Śląsk Wrocław,2.25,3.3,3.79,2.15,3.1,3.3,36,1.0113,1.0907,zag ebie lubin,slask wroc aw
1.76,2.1,1.72,1.96,2026-08-14T09:49:28+00:00,2026-08-15,2026-08-15T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Piast Gliwice,Wieczysta Kraków,2.16,3.75,3.45,2.06,3.4,3.2,34,1.0195,1.0921,piast gliwice,wieczysta krakow
2.21,1.63,2.18,1.57,2026-08-14T09:49:28+00:00,2026-08-15,2026-08-15T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Widzew Łódź,Korona Kielce,2.03,3.4,4.2,1.925,3.175,3.775,36,1.0248,1.0993,widzew odz,korona kielce
1.59,2.29,1.55,2.23,2026-08-14T09:49:28+00:00,2026-08-16,2026-08-16T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Motor Lublin,GKS Katowice,2.68,3.8,2.5,2.58,3.475,2.4,36,1.0363,1.092,motor lublin,gks katowice
2.14,1.73,2.09,1.635,2026-08-14T09:49:28+00:00,2026-08-16,2026-08-16T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Cracovia Kraków,Raków Częstochowa,2.82,3.3,2.66,2.71,3.1,2.5,36,1.0336,1.0916,cracovia krakow,rakow czestochowa
,,,,2026-08-14T09:49:28+00:00,2026-08-16,2026-08-16T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Jagiellonia Białystok,Pogoń Szczecin,2.3,3.8,2.9,2.165,3.65,2.8,8,1.0428,1.093,jagiellonia bia ystok,pogon szczecin
1.77,2.06,1.75,1.89,2026-08-14T09:49:28+00:00,2026-08-16,2026-08-16T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Górnik Zabrze,Wisła Kraków,2.2,3.75,3.38,2.0700000000000003,3.4,3.2,30,1.0171,1.0897,gornik zabrze,wis a krakow
,,,,2026-08-14T09:49:28+00:00,2026-08-16,2026-08-16T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Wisła Płock,Lech Poznań,4.0,3.9,1.75,3.95,3.8,1.74,4,1.0778,1.091,wis a p ock,lech poznan
1.82,2.03,1.77,1.895,2026-08-20T09:09:49+00:00,2026-08-21,2026-08-21T18:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Cracovia Kraków,Wieczysta Kraków,2.08,3.75,3.6,2.0,3.465,3.3,34,1.0252,1.0916,cracovia krakow,wieczysta krakow
1.74,2.1,1.7149999999999999,1.955,2026-08-20T09:09:49+00:00,2026-08-22,2026-08-22T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Korona Kielce,Motor Lublin,1.97,3.75,3.75,1.91,3.525,3.525,36,1.0409,1.0909,korona kielce,motor lublin
1.85,1.99,1.83,1.87,2026-08-20T09:09:49+00:00,2026-08-22,2026-08-22T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Piast Gliwice,Legia Warszawa,3.5,3.6,2.12,3.3,3.4,2.0300000000000002,36,1.0352,1.0898,piast gliwice,legia warszawa
1.89,2.04,1.815,1.93,2026-08-20T09:09:49+00:00,2026-08-22,2026-08-22T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Śląsk Wrocław,Widzew Łódź,2.85,3.6,2.43,2.75,3.3,2.3499999999999996,36,1.0402,1.0922,slask wroc aw,widzew odz
1.93,1.93,1.88,1.81,2026-08-20T09:09:49+00:00,2026-08-23,2026-08-23T12:45:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Radomiak Radom,Zagłębie Lubin,2.4,3.5,3.05,2.3,3.2,2.88,36,1.0302,1.0945,radomiak radom,zag ebie lubin
1.71,2.2,1.65,1.96,2026-08-20T09:09:49+00:00,2026-08-23,2026-08-23T15:30:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,GKS Katowice,Wisła Płock,1.93,3.9,4.0,1.85,3.5,3.6,36,1.0245,1.104,gks katowice,wis a p ock
1.64,2.21,1.63,2.08,2026-08-20T09:09:49+00:00,2026-08-23,2026-08-23T18:15:00Z,soccer_poland_ekstraklasa,POL-EKSTRAKL,Pogoń Szczecin,Wisła Kraków,2.45,3.6,3.07,2.3099999999999996,3.3,2.7,30,1.0117,1.1063,pogon szczecin,wis a krakow
