over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons
1.46,2.75,1.46,2.62,2026-08-12T15:38:04+00:00,2026-08-14,2026-08-14T19:15:00Z,soccer_portugal_primeira_liga,PPL,Sporting Lisbon,Vitória SC,1.26,6.8,13.5,1.22,6.0,10.5,36,1.0148,1.0816,sporting lisbon,vitoria,,,,
2.15,1.7,2.1,1.65,2026-08-12T15:38:04+00:00,2026-08-15,2026-08-15T14:30:00Z,soccer_portugal_primeira_liga,PPL,Alverca,CF Estrela,2.25,3.3,3.5,2.15,3.15,3.25,37,1.0332,1.0903,alverca,estrela,,,,
2.16,1.68,2.135,1.66,2026-08-12T15:38:04+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_portugal_primeira_liga,PPL,Académico de Viseu,Santa Clara,3.0,3.3,2.56,2.88,3.12,2.45,21,1.027,1.0759,academico de viseu,santa clara,,,,
1.77,2.15,1.725,1.955,2026-08-12T15:38:04+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_portugal_primeira_liga,PPL,Rio Ave FC,FC Porto,8.4,4.77,1.44,7.27,4.5,1.38,36,1.0231,1.0844,rio ave,porto,,,,
1.87,1.97,1.8,1.88,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T14:30:00Z,soccer_portugal_primeira_liga,PPL,Nacional,Estoril,2.76,3.5,2.8,2.58,3.29,2.56,35,1.0052,1.0822,nacional,estoril,,,,
2.18,1.73,2.01,1.71,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_portugal_primeira_liga,PPL,Arouca,Moreirense FC,2.18,3.4,3.9,2.05,3.2300000000000004,3.4,36,1.0092,1.0915,arouca,moreirense,,,,
2.0,1.85,1.95,1.82,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_portugal_primeira_liga,PPL,Braga,Gil Vicente,1.7,3.87,5.6,1.63,3.665,5.0,36,1.0252,1.0863,braga,gil vicente,,,,
1.61,2.3,1.6,2.14,2026-08-12T15:38:04+00:00,2026-08-17,2026-08-17T19:15:00Z,soccer_portugal_primeira_liga,PPL,Casa Pia,Benfica,16.0,6.5,1.25,11.75,5.85,1.21,36,1.0163,1.0825,casa pia,benfica,,,,
1.55,2.4,1.55,2.32,2026-08-14T09:49:29+00:00,2026-08-14,2026-08-14T19:15:00Z,soccer_portugal_primeira_liga,PPL,Sporting Lisbon,Vitória SC,1.35,6.8,12.5,1.3,5.3,9.0,36,0.9678,1.069,sporting lisbon,vitoria,,,,
2.24,1.72,2.1100000000000003,1.65,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T14:30:00Z,soccer_portugal_primeira_liga,PPL,Alverca,CF Estrela,2.26,3.4,3.6,2.15,3.2,3.3,37,1.0144,1.0806,alverca,estrela,,,,
2.24,1.68,2.14,1.63,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_portugal_primeira_liga,PPL,Académico de Viseu,Santa Clara,3.0,3.3,2.6,2.88,3.1,2.45,29,1.021,1.078,academico de viseu,santa clara,,,,
1.85,2.02,1.77,1.98,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_portugal_primeira_liga,PPL,Rio Ave FC,FC Porto,9.0,4.81,1.44,7.5,4.5,1.38,37,1.0135,1.0802,rio ave,porto,,,,
1.92,1.94,1.84,1.85,2026-08-14T09:49:29+00:00,2026-08-16,2026-08-16T14:30:00Z,soccer_portugal_primeira_liga,PPL,Nacional,Estoril,2.78,3.5,2.8,2.6,3.3,2.58,36,1.0026,1.0752,nacional,estoril,,,,
2.18,1.73,2.1,1.71,2026-08-14T09:49:29+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_portugal_primeira_liga,PPL,Arouca,Moreirense FC,2.2,3.45,3.85,2.06,3.24,3.46,37,1.0041,1.0831,arouca,moreirense,,,,
2.01,1.85,1.95,1.83,2026-08-14T09:49:29+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_portugal_primeira_liga,PPL,Braga,Gil Vicente,1.7,3.9,5.7,1.66,3.7,5.0,37,1.0201,1.0727,braga,gil vicente,,,,
2.15,1.81,1.95,1.75,2026-08-14T09:49:29+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_portugal_primeira_liga,PPL,Famalicão,CS Maritimo,1.87,3.6,4.9,1.77,3.45,4.445,34,1.0166,1.0798,famalicao,cs maritimo,,,,
