over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons,home_key,away_key
1.79,2.19,1.73,2.17,2026-08-12T15:38:04+00:00,2026-08-14,2026-08-14T14:00:00Z,soccer_russia_premier_league,RUS-PREMIERL,Gazovik Orenburg,Lokomotiv Moscow,3.49,3.71,2.18,3.33,3.6,2.12,5,1.0148,1.0498,,,,,gazovik orenburg,lokomotiv moscow
2.66,1.56,2.66,1.56,2026-08-12T15:38:04+00:00,2026-08-15,2026-08-15T15:30:00Z,soccer_russia_premier_league,RUS-PREMIERL,FK Rostov,Rubin Kazan,2.25,3.16,3.94,2.17,3.03,3.83,5,1.0147,1.052,1.47,2.38,1.47,2.38,fk rostov,rubin kazan
1.8,2.17,1.76,2.12,2026-08-12T15:38:04+00:00,2026-08-15,2026-08-15T17:45:00Z,soccer_russia_premier_league,RUS-PREMIERL,FC Krasnodar,FC Akhmat Grozny,1.62,4.36,5.9,1.56,4.22,5.62,5,1.0161,1.0559,,,,,krasnodar,akhmat grozny
1.84,2.12,1.77,2.035,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T11:30:00Z,soccer_russia_premier_league,RUS-PREMIERL,Zenit St Petersburg,Dinamo Moscow,1.71,4.15,5.28,1.65,4.01,5.02,5,1.0152,1.0546,,,,,zenit st petersburg,dinamo moscow
2.33,1.71,2.33,1.71,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T14:00:00Z,soccer_russia_premier_league,RUS-PREMIERL,Kryliya Sovetov,FC Dynamo Makhachkala,2.57,3.2,3.17,2.51,3.1,3.085,4,1.0171,1.0451,,,,,kryliya sovetov,dynamo makhachkala
2.16,1.81,2.12,1.76,2026-08-12T15:38:04+00:00,2026-08-16,2026-08-16T16:30:00Z,soccer_russia_premier_league,RUS-PREMIERL,FC Baltika Kaliningrad,Spartak Moscow,4.25,3.53,2.01,4.11,3.37,1.96,5,1.0161,1.0502,,,,,baltika kaliningrad,spartak moscow
1.86,2.09,1.785,2.03,2026-08-14T09:49:29+00:00,2026-08-14,2026-08-14T14:00:00Z,soccer_russia_premier_league,RUS-PREMIERL,Gazovik Orenburg,Lokomotiv Moscow,3.22,3.63,2.33,3.14,3.54,2.26,5,1.0152,1.0434,,,,,gazovik orenburg,lokomotiv moscow
1.82,2.14,1.745,2.09,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T11:00:00Z,soccer_russia_premier_league,RUS-PREMIERL,Rodina Moscow,FC Akron Tolyatti,2.58,3.58,2.86,2.475,3.36,2.76,4,1.0166,1.064,,,,,rodina moscow,akron tolyatti
1.98,1.97,1.93,1.92,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T13:15:00Z,soccer_russia_premier_league,RUS-PREMIERL,CSKA Moscow,FC Fakel Voronezh,1.5,4.67,7.49,1.46,4.39,6.93,5,1.0143,1.057,,,,,cska moscow,fakel voronezh
2.66,1.56,2.66,1.56,2026-08-14T09:49:29+00:00,2026-08-15,2026-08-15T15:30:00Z,soccer_russia_premier_league,RUS-PREMIERL,FK Rostov,Rubin Kazan,2.25,3.16,3.94,2.17,3.03,3.83,5,1.0147,1.052,1.48,2.41,1.48,2.41,fk rostov,rubin kazan
