fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key,over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons
2026-08-11T14:04:01+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_spain_la_liga,PD,Alavés,Getafe,2.49,2.94,3.85,2.38,2.8,3.55,37,1.0015,1.059,alaves,getafe,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_spain_la_liga,PD,Sevilla,Rayo Vallecano,2.4,3.37,3.75,2.25,3.2,3.3,38,0.9801,1.06,sevilla,rayo vallecano,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_spain_la_liga,PD,Real Racing Club de Santander,Villarreal,3.3,3.6,2.35,3.1,3.5,2.2350000000000003,38,1.0063,1.0557,real racing club de santander,villarreal,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_spain_la_liga,PD,Espanyol,Levante,2.14,3.45,4.4,2.01,3.3,3.8,38,0.9844,1.0637,espanyol,levante,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_spain_la_liga,PD,Celta Vigo,CA Osasuna,2.12,3.6,4.2,2.0,3.35,3.75,38,0.9876,1.0652,celta vigo,ca osasuna,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-17,2026-08-17T19:00:00Z,soccer_spain_la_liga,PD,Deportivo La Coruña,Elche CF,2.51,3.17,3.5,2.38,3.05,3.2,34,0.9996,1.0605,deportivo la coruna,elche,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-19,2026-08-19T19:00:00Z,soccer_spain_la_liga,PD,Atlético Madrid,Málaga,1.33,6.25,14.0,1.27,5.45,10.5,32,0.9833,1.0661,atletico madrid,malaga,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-20,2026-08-20T19:00:00Z,soccer_spain_la_liga,PD,Rayo Vallecano,Alavés,2.14,3.29,4.42,2.05,3.075,3.8,22,0.9975,1.0762,rayo vallecano,alaves,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-21,2026-08-21T19:00:00Z,soccer_spain_la_liga,PD,Real Betis,Real Sociedad,2.18,3.51,3.71,2.1,3.3,3.4,23,1.0132,1.0733,real betis,real sociedad,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_spain_la_liga,PD,Athletic Bilbao,Sevilla,1.68,3.92,6.08,1.62,3.6,5.5,21,1.0148,1.0769,athletic bilbao,sevilla,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-22,2026-08-22T17:30:00Z,soccer_spain_la_liga,PD,Valencia,Celta Vigo,2.42,3.5,3.2,2.3,3.2,3.0,21,1.0114,1.0806,valencia,celta vigo,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-22,2026-08-22T19:30:00Z,soccer_spain_la_liga,PD,Espanyol,Real Madrid,5.4,4.3,1.72,5.0,4.0,1.61,21,0.9991,1.0711,espanyol,real madrid,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-23,2026-08-23T15:00:00Z,soccer_spain_la_liga,PD,Atlético Madrid,Villarreal,1.96,4.01,4.3,1.9,3.5,3.8,20,0.9921,1.0752,atletico madrid,villarreal,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-23,2026-08-23T17:30:00Z,soccer_spain_la_liga,PD,Getafe,Real Racing Club de Santander,1.94,3.2,5.88,1.9,3.0,4.6,21,0.998,1.077,getafe,real racing club de santander,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-23,2026-08-23T19:30:00Z,soccer_spain_la_liga,PD,Elche CF,Barcelona,9.3,6.0,1.4,7.5,5.25,1.3,21,0.9885,1.093,elche,barcelona,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-24,2026-08-24T17:30:00Z,soccer_spain_la_liga,PD,CA Osasuna,Levante,1.79,4.03,5.06,1.7,3.7,4.6,21,1.0044,1.0759,ca osasuna,levante,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-24,2026-08-24T19:30:00Z,soccer_spain_la_liga,PD,Málaga,Deportivo La Coruña,2.58,3.29,3.15,2.45,3.0,2.95,19,1.009,1.0805,malaga,deportivo la coruna,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-25,2026-08-25T19:00:00Z,soccer_spain_la_liga,PD,Valencia,Real Betis,2.79,3.4,2.77,2.62,3.25,2.62,27,1.0136,1.0711,valencia,real betis,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-26,2026-08-26T19:00:00Z,soccer_spain_la_liga,PD,Real Madrid,Real Sociedad,1.45,5.3,8.0,1.37,5.0,7.0,27,1.0033,1.0728,real madrid,real sociedad,,,,,,,,
2026-08-11T14:04:01+00:00,2026-08-27,2026-08-27T19:00:00Z,soccer_spain_la_liga,PD,Barcelona,Athletic Bilbao,1.45,5.25,7.6,1.4,5.0,6.75,27,1.0117,1.0624,barcelona,athletic bilbao,,,,,,,,
2026-08-12T15:38:01+00:00,2026-08-15,2026-08-15T17:30:00Z,soccer_spain_la_liga,PD,Alavés,Getafe,2.46,2.96,3.9,2.35,2.8,3.6,37,1.0008,1.0605,alaves,getafe,3.05,1.37,3.05,1.37,1.75,2.25,1.68,2.14
2026-08-12T15:38:01+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_spain_la_liga,PD,Sevilla,Rayo Vallecano,2.38,3.33,3.55,2.25,3.2,3.25,38,1.0022,1.0646,sevilla,rayo vallecano,2.34,1.7,2.2,1.6549999999999998,,,,
2026-08-12T15:38:01+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_spain_la_liga,PD,Real Racing Club de Santander,Villarreal,3.3,3.65,2.34,3.05,3.5,2.25,38,1.0044,1.058,real racing club de santander,villarreal,1.91,2.16,1.83,1.95,,,,
2026-08-12T15:38:01+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_spain_la_liga,PD,Espanyol,Levante,2.16,3.44,4.1,2.05,3.3,3.77,38,0.9976,1.0561,espanyol,levante,2.32,1.72,2.2,1.65,,,,
2026-08-12T15:38:01+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_spain_la_liga,PD,Celta Vigo,CA Osasuna,2.12,3.55,4.1,2.0,3.375,3.75,38,0.9973,1.063,celta vigo,osasuna,2.22,1.79,2.085,1.715,,,,
2026-08-12T15:38:01+00:00,2026-08-17,2026-08-17T19:00:00Z,soccer_spain_la_liga,PD,Deportivo La Coruña,Elche CF,2.51,3.17,3.52,2.39,3.025,3.2,34,0.998,1.0615,deportivo la coruna,elche,2.44,1.66,2.28,1.57,,,,
2026-08-12T15:38:01+00:00,2026-08-19,2026-08-19T19:00:00Z,soccer_spain_la_liga,PD,Atlético Madrid,Málaga,1.34,6.25,14.0,1.285,5.45,10.95,32,0.9777,1.053,atletico madrid,malaga,1.81,2.23,1.66,2.18,,,,
2026-08-12T15:38:01+00:00,2026-08-20,2026-08-20T19:00:00Z,soccer_spain_la_liga,PD,Rayo Vallecano,Alavés,2.14,3.29,4.42,2.05,3.075,3.8,22,0.9975,1.0762,rayo vallecano,alaves,2.68,1.46,2.68,1.46,1.64,2.47,1.52,2.4
2026-08-12T15:38:01+00:00,2026-08-21,2026-08-21T19:00:00Z,soccer_spain_la_liga,PD,Real Betis,Real Sociedad,2.18,3.51,3.71,2.15,3.3,3.35,23,1.0132,1.0667,real betis,real sociedad,2.29,1.73,2.12,1.6749999999999998,,,,
2026-08-12T15:38:01+00:00,2026-08-22,2026-08-22T15:00:00Z,soccer_spain_la_liga,PD,Athletic Bilbao,Sevilla,1.68,3.92,6.08,1.61,3.6,5.5,21,1.0148,1.0807,athletic bilbao,sevilla,2.29,1.73,2.14,1.6749999999999998,,,,
2026-08-12T15:38:01+00:00,2026-08-22,2026-08-22T17:30:00Z,soccer_spain_la_liga,PD,Valencia,Celta Vigo,2.44,3.5,3.2,2.3,3.15,3.0,21,1.0081,1.0856,valencia,celta vigo,2.29,1.73,2.18,1.65,,,,
2026-08-12T15:38:01+00:00,2026-08-22,2026-08-22T19:30:00Z,soccer_spain_la_liga,PD,Espanyol,Real Madrid,5.4,4.3,1.72,5.0,4.0,1.6,21,0.9991,1.075,espanyol,real madrid,1.79,2.18,1.71,2.1,,,,
2026-08-12T15:38:01+00:00,2026-08-23,2026-08-23T15:00:00Z,soccer_spain_la_liga,PD,Atlético Madrid,Villarreal,1.96,4.01,4.3,1.88,3.5,3.91,20,0.9921,1.0734,atletico madrid,villarreal,1.97,1.97,1.95,1.83,,,,
2026-08-12T15:38:01+00:00,2026-08-23,2026-08-23T17:30:00Z,soccer_spain_la_liga,PD,Getafe,Real Racing Club de Santander,1.92,3.2,5.88,1.88,3.0,4.75,21,1.0034,1.0758,getafe,real racing club de santander,3.05,1.37,3.05,1.37,1.73,2.29,1.62,2.2
2026-08-12T15:38:01+00:00,2026-08-23,2026-08-23T19:30:00Z,soccer_spain_la_liga,PD,Elche CF,Barcelona,9.3,5.75,1.4,7.5,5.25,1.3,21,0.9957,1.093,elche,barcelona,1.46,2.7,1.46,2.68,,,,
2026-08-12T15:38:01+00:00,2026-08-24,2026-08-24T17:30:00Z,soccer_spain_la_liga,PD,CA Osasuna,Levante,1.79,4.03,5.06,1.7,3.7,4.5,21,1.0044,1.0807,osasuna,levante,1.97,1.97,1.88,1.88,,,,
2026-08-12T15:38:01+00:00,2026-08-24,2026-08-24T19:30:00Z,soccer_spain_la_liga,PD,Málaga,Deportivo La Coruña,2.62,3.29,3.15,2.45,3.0,2.95,19,1.0031,1.0805,malaga,deportivo la coruna,2.52,1.5,2.52,1.5,1.59,2.59,1.53,2.52
