over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key,over15_odds,under15_odds,over15_odds_cons,under15_odds_cons
1.71,2.31,1.645,2.07,2026-08-12T15:38:06+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_spain_segunda_division,SD,Real Sociedad B,CD Castellón,3.83,3.97,1.99,3.5,3.6,1.88,34,1.0155,1.0954,real sociedad b,castellon,,,,
1.73,2.07,1.67,2.02,2026-08-12T15:38:06+00:00,2026-08-15,2026-08-15T15:00:00Z,soccer_spain_segunda_division,SD,Andorra CF,AD Ceuta FC,1.74,4.0,4.9,1.65,3.75,4.4,33,1.0288,1.1,andorra,ad ceuta,,,,
2.01,1.83,1.94,1.825,2026-08-12T15:38:06+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_spain_segunda_division,SD,Cádiz CF,Celta Vigo,2.06,3.5,3.75,1.995,3.3,3.6,18,1.0378,1.0821,cadiz,celta vigo,,,,
2.01,1.91,1.93,1.74,2026-08-12T15:38:06+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_spain_segunda_division,SD,Oviedo,Granada CF,1.77,3.83,5.0,1.7,3.5,4.5,33,1.0261,1.0962,oviedo,granada,,,,
1.96,1.97,1.92,1.81,2026-08-12T15:38:06+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_spain_segunda_division,SD,Mallorca,Real Valladolid CF,1.72,3.85,5.35,1.65,3.6,4.9,29,1.0281,1.0879,mallorca,real valladolid,,,,
2.35,1.68,2.315,1.5,2026-08-12T15:38:06+00:00,2026-08-16,2026-08-16T15:00:00Z,soccer_spain_segunda_division,SD,SD Eibar,Tenerife,1.97,3.4,4.37,1.85,3.15,4.1,33,1.0306,1.1019,eibar,tenerife,,,,
2.23,1.72,2.2,1.56,2026-08-12T15:38:06+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_spain_segunda_division,SD,Burgos CF,Córdoba,2.38,3.29,3.3,2.25,3.1,3.0,32,1.0271,1.1004,burgos,cordoba,,,,
2.12,1.82,1.965,1.73,2026-08-12T15:38:06+00:00,2026-08-16,2026-08-16T17:00:00Z,soccer_spain_segunda_division,SD,Girona FC,Leganés,1.65,3.85,6.2,1.6,3.6,5.2,28,1.0271,1.0951,girona,leganes,,,,
1.94,1.96,1.82,1.85,2026-08-12T15:38:06+00:00,2026-08-16,2026-08-16T19:30:00Z,soccer_spain_segunda_division,SD,Las Palmas,Albacete,1.67,3.92,5.4,1.61,3.6,4.825,32,1.0391,1.1061,las palmas,albacete,,,,
2.15,1.73,2.15,1.65,2026-08-12T15:38:06+00:00,2026-08-17,2026-08-17T17:00:00Z,soccer_spain_segunda_division,SD,Sporting Gijón,Sabadell FC,1.84,3.52,4.8,1.75,3.3,4.4,19,1.0359,1.1017,sporting gijon,sabadell,,,,
1.65,2.35,1.6150000000000002,2.175,2026-08-12T15:38:06+00:00,2026-08-17,2026-08-17T19:30:00Z,soccer_spain_segunda_division,SD,Almería,CD Eldense,1.32,5.72,10.0,1.29,5.0,8.5,23,1.0324,1.0928,almeria,eldense,,,,
1.67,2.35,1.62,2.08,2026-08-14T09:49:33+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_spain_segunda_division,SD,Real Sociedad B,CD Castellón,4.0,4.1,1.92,3.7,3.7,1.8,34,1.0147,1.0961,real sociedad b,castellon,,,,
1.85,2.02,1.705,2.0,2026-08-14T09:49:33+00:00,2026-08-15,2026-08-15T15:00:00Z,soccer_spain_segunda_division,SD,Andorra CF,AD Ceuta FC,1.75,4.0,4.8,1.67,3.75,4.4,34,1.0298,1.0927,andorra,ad ceuta,,,,
2.01,1.85,1.96,1.82,2026-08-14T09:49:33+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_spain_segunda_division,SD,Cádiz CF,Celta Vigo,2.06,3.5,3.9,1.95,3.4,3.6,20,1.0276,1.0847,cadiz,celta vigo,,,,
2.01,1.91,1.93,1.755,2026-08-14T09:49:33+00:00,2026-08-15,2026-08-15T17:00:00Z,soccer_spain_segunda_division,SD,Oviedo,Granada CF,1.75,3.85,5.2,1.7,3.5,4.5,35,1.0235,1.0962,oviedo,granada,,,,
2.0,1.97,1.91,1.82,2026-08-14T09:49:33+00:00,2026-08-15,2026-08-15T19:30:00Z,soccer_spain_segunda_division,SD,Mallorca,Real Valladolid CF,1.72,3.85,5.5,1.65,3.6,5.0,30,1.023,1.0838,mallorca,real valladolid,,,,
