over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.89,1.93,1.85,1.88,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Motherwell,Aberdeen,2.38,3.6,3.05,2.25,3.25,2.9,22,1.0258,1.097,motherwell,aberdeen
1.59,2.38,1.55,2.28,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,St Johnstone,Celtic,6.9,4.75,1.47,6.0,4.34,1.43,22,1.0357,1.0964,st johnstone,celtic
1.87,1.93,1.83,1.89,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Falkirk F.C.,Hearts,3.05,3.5,2.35,2.88,3.275,2.3,22,1.0391,1.0873,falkirk f c,hearts
1.78,2.01,1.76,1.99,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Hibernian,Kilmarnock,1.7,4.0,4.9,1.65,3.72,4.65,22,1.0423,1.0899,hibernian,kilmarnock
1.62,2.28,1.61,2.23,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Rangers,St Mirren,1.35,5.25,9.8,1.3,4.8,8.5,22,1.0333,1.0952,rangers,st mirren
1.82,1.98,1.79,1.94,2026-08-12T15:38:07+00:00,2026-08-22,2026-08-22T16:45:00Z,soccer_spl,SPL,Dundee United,Dundee FC,2.05,3.6,3.55,1.95,3.4,3.4,22,1.0473,1.1011,dundee united,dundee
1.85,2.03,1.82,1.88,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Motherwell,Aberdeen,2.23,3.6,3.55,2.06,3.3,3.3,23,1.0079,1.0915,motherwell,aberdeen
1.57,2.42,1.57,2.28,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,St Johnstone,Celtic,6.1,4.54,1.55,5.8,4.33,1.47,23,1.0294,1.0836,st johnstone,celtic
1.89,1.94,1.83,1.89,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Falkirk F.C.,Hearts,3.7,3.6,2.38,3.2,3.35,2.15,23,0.9682,1.0761,falkirk f c,hearts
1.76,2.12,1.72,2.0,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Hibernian,Kilmarnock,1.68,4.2,5.25,1.62,3.75,4.8,23,1.0238,1.0923,hibernian,kilmarnock
1.61,2.32,1.58,2.23,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Rangers,St Mirren,1.41,5.0,8.5,1.34,4.7,7.9,23,1.0269,1.0856,rangers,st mirren
1.85,1.98,1.79,1.94,2026-08-14T09:49:34+00:00,2026-08-22,2026-08-22T16:45:00Z,soccer_spl,SPL,Dundee United,Dundee FC,2.0,3.61,3.95,1.93,3.4,3.55,23,1.0302,1.0939,dundee united,dundee
1.85,1.88,1.85,1.88,2026-08-20T09:09:53+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Motherwell,Aberdeen,2.1,3.4,3.32,2.08,3.35,3.2,9,1.0715,1.0918,motherwell,aberdeen
1.57,2.3,1.57,2.3,2026-08-20T09:09:53+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,St Johnstone,Celtic,6.4,4.6,1.43,6.25,4.4,1.43,9,1.0729,1.0866,st johnstone,celtic
1.83,1.89,1.83,1.89,2026-08-20T09:09:53+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Falkirk F.C.,Hearts,3.1,3.36,2.21,3.05,3.35,2.16,9,1.0727,1.0893,falkirk f c,hearts
1.76,2.0,1.76,2.0,2026-08-20T09:09:53+00:00,2026-08-22,2026-08-22T14:00:00Z,soccer_spl,SPL,Hibernian,Kilmarnock,1.65,3.78,4.95,1.65,3.75,4.7,9,1.0726,1.0855,hibernian,kilmarnock
1.85,2.03,1.79,1.94,2026-08-20T09:09:53+00:00,2026-08-22,2026-08-22T16:45:00Z,soccer_spl,SPL,Dundee United,Dundee FC,2.18,3.6,3.6,2.1,3.4,3.3,35,1.0143,1.0733,dundee united,dundee
