over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,home_key,away_key
1.76,2.16,1.7,2.045,2026-08-12T15:38:08+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,IF Elfsborg,Västerås SK,1.91,4.1,4.5,1.8,3.68,3.9,37,0.9897,1.0837,if elfsborg,vasteras sk
1.66,2.2,1.62,2.18,2026-08-12T15:38:08+00:00,2026-08-15,2026-08-15T13:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,Mjällby AIF,IK Sirius,3.7,3.8,2.14,3.2,3.58,2.05,39,1.0007,1.0796,mjallby aif,ik sirius
1.52,2.5,1.52,2.48,2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,Djurgardens IF,AIK,1.63,4.6,5.81,1.5,4.33,5.4,37,1.003,1.0828,djurgardens if,aik
1.88,1.94,1.85,1.9,2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,Degerfors IF,IFK Goteborg,3.3,3.5,2.38,2.9,3.3,2.25,37,1.0089,1.0923,degerfors if,ifk goteborg
1.61,2.38,1.58,2.1950000000000003,2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T12:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,IF Brommapojkarna,Örgryte IS,1.84,4.1,4.6,1.75,3.85,3.85,37,1.0048,1.0909,if brommapojkarna,orgryte is
1.66,2.19,1.5950000000000002,2.16,2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T14:30:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,GAIS,Malmo FF,2.23,3.7,3.4,2.12,3.5,3.0,33,1.0128,1.0907,gais,malmo ff
1.66,2.24,1.62,2.18,2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T14:30:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,Kalmar FF,Hammarby IF,4.6,4.0,1.85,4.0,3.75,1.75,37,1.0079,1.0881,kalmar ff,hammarby if
1.44,2.8,1.44,2.75,2026-08-12T15:38:08+00:00,2026-08-17,2026-08-17T17:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,BK Hacken,Halmstads BK,1.36,6.0,9.3,1.295,5.4,7.85,36,1.0095,1.0848,bk hacken,halmstads bk
1.75,2.15,1.705,2.05,2026-08-14T09:49:35+00:00,2026-08-14,2026-08-14T17:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,IF Elfsborg,Västerås SK,1.87,4.1,4.8,1.73,3.75,4.3,39,0.987,1.0773,if elfsborg,vasteras sk
1.66,2.2,1.63,2.18,2026-08-14T09:49:35+00:00,2026-08-15,2026-08-15T13:00:00Z,soccer_sweden_allsvenskan,SWE-ALLSVENS,Mjällby AIF,IK Sirius,3.6,3.9,2.14,3.3,3.6,2.0,39,1.0015,1.0808,mjallby aif,ik sirius
