fetched_at,date,commence_time,sport,competition,home_team,away_team,home_odds,draw_odds,away_odds,home_odds_cons,draw_odds_cons,away_odds_cons,n_bookmakers,overround,overround_cons,over25_odds,under25_odds,over25_odds_cons,under25_odds_cons,home_key,away_key
2026-08-12T15:38:08+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_turkey_super_league,TSL,Galatasaray,Çorum FK,1.2,8.2,16.14,1.18,6.5,13.095,26,1.0172,1.0777,,,,,galatasaray,corum fk
2026-08-12T15:38:08+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_turkey_super_league,TSL,Kasimpasa SK,Trabzonspor,4.2,3.85,1.89,3.99,3.65,1.8,33,1.0269,1.0802,1.83,2.09,1.75,2.02,kasimpasa sk,trabzonspor
2026-08-12T15:38:08+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_turkey_super_league,TSL,Torku Konyaspor,Çaykur Rizespor,2.5,3.4,3.17,2.33,3.2,2.98,33,1.0096,1.0773,1.9,1.99,1.83,1.91,torku konyaspor,caykur rizespor
2026-08-12T15:38:08+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_turkey_super_league,TSL,Gazişehir Gaziantep,Alanyaspor,2.6,3.6,2.82,2.4,3.345,2.7,32,1.017,1.086,1.91,1.98,1.84,1.92,gazisehir gaziantep,alanyaspor
2026-08-12T15:38:08+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_turkey_super_league,TSL,Genclerbirligi SK,Fenerbahce,7.6,4.75,1.49,6.73,4.5,1.41,33,1.0132,1.08,1.76,2.17,1.665,2.12,genclerbirligi sk,fenerbahce
2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T16:00:00Z,soccer_turkey_super_league,TSL,Basaksehir,Kocaelispor,1.5,4.6,7.4,1.47,4.1,6.5,33,1.0192,1.078,1.91,1.98,1.81,1.93,basaksehir,kocaelispor
2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T18:30:00Z,soccer_turkey_super_league,TSL,Amed SK,Erzurum BB,2.39,3.6,3.0,2.275,3.4,2.86,18,1.0295,1.0833,1.85,2.04,1.815,2.02,amed sk,erzurum bb
2026-08-12T15:38:08+00:00,2026-08-16,2026-08-16T18:30:00Z,soccer_turkey_super_league,TSL,Besiktas JK,Eyüpspor,1.42,5.7,8.95,1.34,5.0,7.5,33,0.9914,1.0796,1.5,2.35,1.5,2.35,besiktas jk,eyupspor
2026-08-12T15:38:08+00:00,2026-08-17,2026-08-17T18:30:00Z,soccer_turkey_super_league,TSL,Samsunspor,Goztepe,2.2,3.43,3.6,2.11,3.25,3.2,32,1.0239,1.0941,2.1,1.8,1.97,1.73,samsunspor,goztepe
2026-08-14T09:49:36+00:00,2026-08-14,2026-08-14T18:30:00Z,soccer_turkey_super_league,TSL,Galatasaray,Çorum FK,1.32,7.6,12.0,1.26,5.75,10.0,29,0.9725,1.0676,1.54,2.34,1.54,2.34,galatasaray,corum fk
2026-08-14T09:49:36+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_turkey_super_league,TSL,Kasimpasa SK,Trabzonspor,4.2,3.85,1.92,3.92,3.67,1.81,35,1.0187,1.0801,1.82,2.09,1.75,2.02,kasimpasa sk,trabzonspor
2026-08-14T09:49:36+00:00,2026-08-15,2026-08-15T16:00:00Z,soccer_turkey_super_league,TSL,Torku Konyaspor,Çaykur Rizespor,2.52,3.4,3.14,2.35,3.16,2.92,35,1.0094,1.0845,1.9,1.99,1.83,1.86,torku konyaspor,caykur rizespor
2026-08-14T09:49:36+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_turkey_super_league,TSL,Gazişehir Gaziantep,Alanyaspor,2.59,3.5,2.83,2.425,3.325,2.7,34,1.0252,1.0835,1.92,1.97,1.84,1.93,gazisehir gaziantep,alanyaspor
2026-08-14T09:49:36+00:00,2026-08-15,2026-08-15T18:30:00Z,soccer_turkey_super_league,TSL,Genclerbirligi SK,Fenerbahce,8.06,5.2,1.49,7.0,4.67,1.38,35,0.9875,1.0816,1.74,2.21,1.66,2.16,genclerbirligi sk,fenerbahce
2026-08-14T09:49:36+00:00,2026-08-16,2026-08-16T16:00:00Z,soccer_turkey_super_league,TSL,Basaksehir,Kocaelispor,1.5,4.6,7.17,1.47,4.1,6.5,35,1.0235,1.078,1.91,1.98,1.81,1.92,basaksehir,kocaelispor
2026-08-14T09:49:36+00:00,2026-08-16,2026-08-16T18:30:00Z,soccer_turkey_super_league,TSL,Amed SK,Erzurum BB,2.39,3.6,3.0,2.3,3.4,2.88,18,1.0295,1.0761,1.85,2.04,1.815,2.02,amed sk,erzurum bb
2026-08-14T09:49:36+00:00,2026-08-16,2026-08-16T18:30:00Z,soccer_turkey_super_league,TSL,Besiktas JK,Eyüpspor,1.35,5.99,10.0,1.29,5.4,8.5,35,1.0077,1.078,1.49,2.47,1.49,2.47,besiktas jk,eyupspor
2026-08-14T09:49:36+00:00,2026-08-17,2026-08-17T18:30:00Z,soccer_turkey_super_league,TSL,Samsunspor,Goztepe,2.2,3.43,3.75,2.125,3.25,3.225,34,1.0128,1.0884,2.1,1.8,1.97,1.73,samsunspor,goztepe
2026-08-20T09:09:55+00:00,2026-08-21,2026-08-21T18:30:00Z,soccer_turkey_super_league,TSL,Erzurum BB,Galatasaray,8.55,4.9,1.46,7.375,4.35,1.4,28,1.006,1.0798,1.78,2.13,1.71,1.97,erzurum bb,galatasaray
2026-08-20T09:09:55+00:00,2026-08-22,2026-08-22T16:00:00Z,soccer_turkey_super_league,TSL,Çorum FK,Kasimpasa SK,2.38,3.55,3.1,2.3,3.355,2.95,28,1.0244,1.0718,1.89,1.94,1.83,1.89,corum fk,kasimpasa sk
2026-08-20T09:09:55+00:00,2026-08-22,2026-08-22T16:00:00Z,soccer_turkey_super_league,TSL,Çaykur Rizespor,Samsunspor,2.44,3.4,3.23,2.25,3.3,3.05,35,1.0136,1.0753,1.91,1.98,1.83,1.91,caykur rizespor,samsunspor
2026-08-20T09:09:55+00:00,2026-08-22,2026-08-22T18:30:00Z,soccer_turkey_super_league,TSL,Fenerbahce,Torku Konyaspor,1.35,6.2,10.8,1.28,5.5,9.0,35,0.9946,1.0742,1.49,2.47,1.49,2.47,fenerbahce,torku konyaspor
2026-08-20T09:09:55+00:00,2026-08-23,2026-08-23T16:00:00Z,soccer_turkey_super_league,TSL,Trabzonspor,Basaksehir,2.17,3.75,3.4,2.08,3.54,3.15,35,1.0216,1.0807,1.74,2.19,1.64,2.08,trabzonspor,basaksehir
2026-08-20T09:09:55+00:00,2026-08-23,2026-08-23T16:00:00Z,soccer_turkey_super_league,TSL,Eyüpspor,Gazişehir Gaziantep,3.04,3.3,2.6,2.84,3.16,2.4400000000000004,34,1.0166,1.0784,1.94,1.94,1.86,1.8450000000000002,eyupspor,gazisehir gaziantep
2026-08-20T09:09:55+00:00,2026-08-23,2026-08-23T18:30:00Z,soccer_turkey_super_league,TSL,Alanyaspor,Besiktas JK,4.0,3.75,1.98,3.75,3.55,1.88,35,1.0217,1.0803,1.81,2.09,1.725,1.9899999999999998,alanyaspor,besiktas jk
2026-08-20T09:09:55+00:00,2026-08-23,2026-08-23T18:30:00Z,soccer_turkey_super_league,TSL,Goztepe,Genclerbirligi SK,1.72,4.0,5.35,1.62,3.75,5.0,35,1.0183,1.084,1.95,1.95,1.85,1.86,goztepe,genclerbirligi sk
2026-08-20T09:09:55+00:00,2026-08-24,2026-08-24T18:30:00Z,soccer_turkey_super_league,TSL,Kocaelispor,Amed SK,2.25,3.4,3.48,2.17,3.25,3.25,34,1.0259,1.0762,2.2,1.76,2.07,1.67,kocaelispor,amed sk
